,schätze,wertschätzig,dankbar,dankbarkeit,dankbarkeit,dankä,dankbar,dankbarkeit,schuld,schuldigkeit,verpflichtig,verpflischtet,verpflichtig,schuldig sy,schuldig ha,entschuldigsvol,entschuldigige,entschuldige,entschuldigung,entschuldigung,verzeih,bedauerig,sorry
schätze,1.0,0.9916512277789201,0.9931476319727207,0.9923279304392271,0.9923279304392271,0.9934577707808816,0.9931476319727207,0.9923279304392271,0.9934469135313552,0.9948480353052961,0.9933346251782912,0.989472473112244,0.9933346251782912,0.9927365299228523,0.9932014431501265,0.9917296291480371,0.991209681592513,0.9930301242264841,0.992250342425135,0.992250342425135,0.9943275078419127,0.9930929853552232,0.986640258126189
wertschätzig,0.9916512277789201,0.9999999999999998,0.9929248461159249,0.992408467596575,0.992408467596575,0.9921400155845959,0.9929248461159249,0.992408467596575,0.9937572987671545,0.9947645265192827,0.996318743057487,0.9911420204100498,0.996318743057487,0.9933434743528655,0.9937178594662995,0.9954800001334577,0.9897736662615106,0.9953991089137469,0.9929740089661212,0.9929740089661212,0.9925429029267286,0.9940461161307367,0.9867211339008853
dankbar,0.9931476319727207,0.9929248461159249,0.9999999999999996,0.994789363567351,0.994789363567351,0.9965450172571235,0.9999999999999996,0.994789363567351,0.9960214307330754,0.9954148815852227,0.9939988938900464,0.9911264945887164,0.9939988938900464,0.9955415295996238,0.9941041515158658,0.9942272657663892,0.9914889292539276,0.9935553408695414,0.9915969366104272,0.9915969366104272,0.9940659882094882,0.9931827307013918,0.9928579828024825
dankbarkeit,0.9923279304392271,0.992408467596575,0.994789363567351,0.9999999999999999,0.9999999999999999,0.9927239448471824,0.994789363567351,0.9999999999999999,0.9931699454851065,0.9958402099528716,0.9922017692625024,0.9879774372691315,0.9922017692625024,0.9907685092925578,0.9906478381520005,0.9910275541081562,0.9884983979592724,0.9925607939525767,0.9935527935285706,0.9935527935285706,0.9919350695974134,0.9915534492375917,0.9864198287008319
dankbarkeit,0.9923279304392271,0.992408467596575,0.994789363567351,0.9999999999999999,0.9999999999999999,0.9927239448471824,0.994789363567351,0.9999999999999999,0.9931699454851065,0.9958402099528716,0.9922017692625024,0.9879774372691315,0.9922017692625024,0.9907685092925578,0.9906478381520005,0.9910275541081562,0.9884983979592724,0.9925607939525767,0.9935527935285706,0.9935527935285706,0.9919350695974134,0.9915534492375917,0.9864198287008319
dankä,0.9934577707808816,0.9921400155845959,0.9965450172571235,0.9927239448471824,0.9927239448471824,0.9999999999999991,0.9965450172571235,0.9927239448471824,0.9945515334385521,0.9947420740125815,0.993245666817856,0.9897279629257718,0.993245666817856,0.9945600452501381,0.9936685787882857,0.9928604443677022,0.9919866313854597,0.9928871486502086,0.9911805210388988,0.9911805210388988,0.9937205539737093,0.9930927203327582,0.9919759565805144
dankbar,0.9931476319727207,0.9929248461159249,0.9999999999999996,0.994789363567351,0.994789363567351,0.9965450172571235,0.9999999999999996,0.994789363567351,0.9960214307330754,0.9954148815852227,0.9939988938900464,0.9911264945887164,0.9939988938900464,0.9955415295996238,0.9941041515158658,0.9942272657663892,0.9914889292539276,0.9935553408695414,0.9915969366104272,0.9915969366104272,0.9940659882094882,0.9931827307013918,0.9928579828024825
dankbarkeit,0.9923279304392271,0.992408467596575,0.994789363567351,0.9999999999999999,0.9999999999999999,0.9927239448471824,0.994789363567351,0.9999999999999999,0.9931699454851065,0.9958402099528716,0.9922017692625024,0.9879774372691315,0.9922017692625024,0.9907685092925578,0.9906478381520005,0.9910275541081562,0.9884983979592724,0.9925607939525767,0.9935527935285706,0.9935527935285706,0.9919350695974134,0.9915534492375917,0.9864198287008319
schuld,0.9934469135313552,0.9937572987671545,0.9960214307330754,0.9931699454851065,0.9931699454851065,0.9945515334385521,0.9960214307330754,0.9931699454851065,1.0000000000000002,0.9967356031360897,0.9942286013389346,0.9894182965912314,0.9942286013389346,0.9955242072752485,0.9951889035484967,0.9939663008129691,0.9899267282651543,0.9944249329597115,0.9929671364765925,0.9929671364765925,0.9920625518416785,0.992023367958518,0.9913753917770237
schuldigkeit,0.9948480353052961,0.9947645265192827,0.9954148815852227,0.9958402099528716,0.9958402099528716,0.9947420740125815,0.9954148815852227,0.9958402099528716,0.9967356031360897,0.9999999999999996,0.9951428515391718,0.9911613530650174,0.9951428515391718,0.9940322626751712,0.994390009189162,0.9940556309042282,0.9908831454359976,0.9951053957701917,0.99624597438568,0.99624597438568,0.9940789517648196,0.9940935760513733,0.9890220974990086
verpflichtig,0.9933346251782912,0.996318743057487,0.9939988938900464,0.9922017692625024,0.9922017692625024,0.993245666817856,0.9939988938900464,0.9922017692625024,0.9942286013389346,0.9951428515391718,0.9999999999999996,0.9920106857136288,0.9999999999999996,0.9942723913735081,0.9946658824068786,0.995060054440511,0.9910927204361996,0.9954650165440662,0.9935575506335657,0.9935575506335657,0.994194738623821,0.9952283381935955,0.9879098893381003
verpflischtet,0.989472473112244,0.9911420204100498,0.9911264945887164,0.9879774372691315,0.9879774372691315,0.9897279629257718,0.9911264945887164,0.9879774372691315,0.9894182965912314,0.9911613530650174,0.9920106857136288,0.9999999999999994,0.9920106857136288,0.9894354628883845,0.9906786624341601,0.99209873573823,0.9873373134659427,0.9918380968611753,0.9903399267605592,0.9903399267605592,0.9913929922744821,0.992378011578788,0.9839395302186404
verpflichtig,0.9933346251782912,0.996318743057487,0.9939988938900464,0.9922017692625024,0.9922017692625024,0.993245666817856,0.9939988938900464,0.9922017692625024,0.9942286013389346,0.9951428515391718,0.9999999999999996,0.9920106857136288,0.9999999999999996,0.9942723913735081,0.9946658824068786,0.995060054440511,0.9910927204361996,0.9954650165440662,0.9935575506335657,0.9935575506335657,0.994194738623821,0.9952283381935955,0.9879098893381003
schuldig sy,0.9927365299228523,0.9933434743528655,0.9955415295996238,0.9907685092925578,0.9907685092925578,0.9945600452501381,0.9955415295996238,0.9907685092925578,0.9955242072752485,0.9940322626751712,0.9942723913735081,0.9894354628883845,0.9942723913735081,0.9999999999999996,0.9968062004455619,0.9939517901196503,0.9907673688003917,0.9931996403574479,0.990135981978592,0.990135981978592,0.993131654066106,0.9923334682646354,0.9910925778209301
schuldig ha,0.9932014431501265,0.9937178594662995,0.9941041515158658,0.9906478381520005,0.9906478381520005,0.9936685787882857,0.9941041515158658,0.9906478381520005,0.9951889035484967,0.994390009189162,0.9946658824068786,0.9906786624341601,0.9946658824068786,0.9968062004455619,0.9999999999999994,0.9947612616824024,0.9909276077795192,0.9944182814443484,0.992448586312986,0.992448586312986,0.9937706217125343,0.9936975683164999,0.9886526250910538
entschuldigsvol,0.9917296291480371,0.9954800001334577,0.9942272657663892,0.9910275541081562,0.9910275541081562,0.9928604443677022,0.9942272657663892,0.9910275541081562,0.9939663008129691,0.9940556309042282,0.995060054440511,0.99209873573823,0.995060054440511,0.9939517901196503,0.9947612616824024,0.9999999999999991,0.9907498553850254,0.9951498580316499,0.9925858105054659,0.9925858105054659,0.9922232593034125,0.992247439633861,0.9883774899285447
entschuldigige,0.991209681592513,0.9897736662615106,0.9914889292539276,0.9884983979592724,0.9884983979592724,0.9919866313854597,0.9914889292539276,0.9884983979592724,0.9899267282651543,0.9908831454359976,0.9910927204361996,0.9873373134659427,0.9910927204361996,0.9907673688003917,0.9909276077795192,0.9907498553850254,0.9999999999999996,0.9920469064355955,0.9898501174072725,0.9898501174072725,0.9913025415271616,0.9926812599410113,0.9851326453916369
entschuldige,0.9930301242264841,0.9953991089137469,0.9935553408695414,0.9925607939525767,0.9925607939525767,0.9928871486502086,0.9935553408695414,0.9925607939525767,0.9944249329597115,0.9951053957701917,0.9954650165440662,0.9918380968611753,0.9954650165440662,0.9931996403574479,0.9944182814443484,0.9951498580316499,0.9920469064355955,0.9999999999999997,0.9954628135237303,0.9954628135237303,0.9933445979093325,0.9944880905478892,0.9876550443946037
entschuldigung,0.992250342425135,0.9929740089661212,0.9915969366104272,0.9935527935285706,0.9935527935285706,0.9911805210388988,0.9915969366104272,0.9935527935285706,0.9929671364765925,0.99624597438568,0.9935575506335657,0.9903399267605592,0.9935575506335657,0.990135981978592,0.992448586312986,0.9925858105054659,0.9898501174072725,0.9954628135237303,0.9999999999999999,0.9999999999999999,0.9929040760545539,0.9940767742418518,0.9842169673695698
entschuldigung,0.992250342425135,0.9929740089661212,0.9915969366104272,0.9935527935285706,0.9935527935285706,0.9911805210388988,0.9915969366104272,0.9935527935285706,0.9929671364765925,0.99624597438568,0.9935575506335657,0.9903399267605592,0.9935575506335657,0.990135981978592,0.992448586312986,0.9925858105054659,0.9898501174072725,0.9954628135237303,0.9999999999999999,0.9999999999999999,0.9929040760545539,0.9940767742418518,0.9842169673695698
verzeih,0.9943275078419127,0.9925429029267286,0.9940659882094882,0.9919350695974134,0.9919350695974134,0.9937205539737093,0.9940659882094882,0.9919350695974134,0.9920625518416785,0.9940789517648196,0.994194738623821,0.9913929922744821,0.994194738623821,0.993131654066106,0.9937706217125343,0.9922232593034125,0.9913025415271616,0.9933445979093325,0.9929040760545539,0.9929040760545539,0.9999999999999999,0.9951833317243133,0.9866668970946069
bedauerig,0.9930929853552232,0.9940461161307367,0.9931827307013918,0.9915534492375917,0.9915534492375917,0.9930927203327582,0.9931827307013918,0.9915534492375917,0.992023367958518,0.9940935760513733,0.9952283381935955,0.992378011578788,0.9952283381935955,0.9923334682646354,0.9936975683164999,0.992247439633861,0.9926812599410113,0.9944880905478892,0.9940767742418518,0.9940767742418518,0.9951833317243133,0.9999999999999994,0.9867281163250379
sorry,0.986640258126189,0.9867211339008853,0.9928579828024825,0.9864198287008319,0.9864198287008319,0.9919759565805144,0.9928579828024825,0.9864198287008319,0.9913753917770237,0.9890220974990086,0.9879098893381003,0.9839395302186404,0.9879098893381003,0.9910925778209301,0.9886526250910538,0.9883774899285447,0.9851326453916369,0.9876550443946037,0.9842169673695698,0.9842169673695698,0.9866668970946069,0.9867281163250379,0.9999999999999996
