,सराहना,आभारी,आभार,आभार,धन्यवाद,आभारी,आभार,सराहना करना,कर्जदार,कर्जदारी,जिम्मेदारी,मजबूरी,बाध्य,मजबूर,जिम्मेदारी,मजबूरी,कर्ज में बा,कर्जदार बा,माफियन,माफी,दुःख,माफ करीं,माफ करs,माफ करीं,माफी माँगत,माफी मंगल
सराहना,0.9999999999999994,0.9900579439749714,0.990844637356627,0.990844637356627,0.9916332221357324,0.9900579439749714,0.990844637356627,0.9931132905510205,0.9938215774757909,0.992704347190177,0.9925084443627455,0.992515133772132,0.9921297296544335,0.9911003636835566,0.9925084443627455,0.992515133772132,0.9729004300377301,0.9877052975433965,0.9897539444538777,0.9923928413212812,0.9929003838809981,0.9901978406222711,0.9924427508394313,0.9901978406222711,0.9923772617505882,0.991832564068547
आभारी,0.9900579439749714,0.9999999999999997,0.9950460880476794,0.9950460880476794,0.9922854204023359,0.9999999999999997,0.9950460880476794,0.9911423784208391,0.9939717623343959,0.9945737180866515,0.9918281315918466,0.993018870914061,0.9943083055507678,0.9940861577571538,0.9918281315918466,0.993018870914061,0.9804027153768924,0.9926239954259484,0.9912507715979412,0.9930534757146977,0.9919495096560401,0.9923138318270804,0.9935563510109182,0.9923138318270804,0.9936768397345522,0.9930324746494056
आभार,0.990844637356627,0.9950460880476794,1.0000000000000004,1.0000000000000004,0.9963058455927044,0.9950460880476794,1.0000000000000004,0.9930902570532345,0.9957942436095797,0.9954940770043481,0.9940181290645834,0.9958703485072077,0.997139811565795,0.9964419721865234,0.9940181290645834,0.9958703485072077,0.9807368433800546,0.994484218148235,0.9931078069730637,0.9958014308039572,0.9957996123752275,0.9965606412617746,0.9969950569995133,0.9965606412617746,0.9960625745995031,0.9962755423085216
आभार,0.990844637356627,0.9950460880476794,1.0000000000000004,1.0000000000000004,0.9963058455927044,0.9950460880476794,1.0000000000000004,0.9930902570532345,0.9957942436095797,0.9954940770043481,0.9940181290645834,0.9958703485072077,0.997139811565795,0.9964419721865234,0.9940181290645834,0.9958703485072077,0.9807368433800546,0.994484218148235,0.9931078069730637,0.9958014308039572,0.9957996123752275,0.9965606412617746,0.9969950569995133,0.9965606412617746,0.9960625745995031,0.9962755423085216
धन्यवाद,0.9916332221357324,0.9922854204023359,0.9963058455927044,0.9963058455927044,0.9999999999999998,0.9922854204023359,0.9963058455927044,0.9932308491624615,0.9958412147366493,0.995085784069956,0.9944835566231421,0.995363766021781,0.9968321944197212,0.9943540083914303,0.9944835566231421,0.995363766021781,0.9780100145382897,0.9918463588476465,0.9915881612414662,0.9948997871979184,0.9956115534038866,0.9942780067532556,0.9954739531967355,0.9942780067532556,0.9952425716662172,0.995235386196482
आभारी,0.9900579439749714,0.9999999999999997,0.9950460880476794,0.9950460880476794,0.9922854204023359,0.9999999999999997,0.9950460880476794,0.9911423784208391,0.9939717623343959,0.9945737180866515,0.9918281315918466,0.993018870914061,0.9943083055507678,0.9940861577571538,0.9918281315918466,0.993018870914061,0.9804027153768924,0.9926239954259484,0.9912507715979412,0.9930534757146977,0.9919495096560401,0.9923138318270804,0.9935563510109182,0.9923138318270804,0.9936768397345522,0.9930324746494056
आभार,0.990844637356627,0.9950460880476794,1.0000000000000004,1.0000000000000004,0.9963058455927044,0.9950460880476794,1.0000000000000004,0.9930902570532345,0.9957942436095797,0.9954940770043481,0.9940181290645834,0.9958703485072077,0.997139811565795,0.9964419721865234,0.9940181290645834,0.9958703485072077,0.9807368433800546,0.994484218148235,0.9931078069730637,0.9958014308039572,0.9957996123752275,0.9965606412617746,0.9969950569995133,0.9965606412617746,0.9960625745995031,0.9962755423085216
सराहना करना,0.9931132905510205,0.9911423784208391,0.9930902570532345,0.9930902570532345,0.9932308491624615,0.9911423784208391,0.9930902570532345,0.9999999999999996,0.9941291992873155,0.9932762239376716,0.9943305273782644,0.9930255348030311,0.9930639384186984,0.9930812338947907,0.9943305273782644,0.9930255348030311,0.9790184619246441,0.9918164624391694,0.9904176338472299,0.9934347061386605,0.9937194463298558,0.9933683367563687,0.9943371760671952,0.9933683367563687,0.9927466851256881,0.9933851428068136
कर्जदार,0.9938215774757909,0.9939717623343959,0.9957942436095797,0.9957942436095797,0.9958412147366493,0.9939717623343959,0.9957942436095797,0.9941291992873155,0.9999999999999994,0.9987795346349609,0.995769902894975,0.9963656245654393,0.9964759083218181,0.9950865512448728,0.995769902894975,0.9963656245654393,0.976318691145965,0.9923437855214965,0.993319616902475,0.9963498675803353,0.9946775815500744,0.9945434995475458,0.9969252176970593,0.9945434995475458,0.9971153956664603,0.9968609726596577
कर्जदारी,0.992704347190177,0.9945737180866515,0.9954940770043481,0.9954940770043481,0.995085784069956,0.9945737180866515,0.9954940770043481,0.9932762239376716,0.9987795346349609,0.9999999999999999,0.9954148087946243,0.9963310404885999,0.9960815915789019,0.994949011336642,0.9954148087946243,0.9963310404885999,0.9759174144847272,0.991887027153852,0.9929532256137438,0.9962202151330122,0.9939075893242438,0.9942189699347873,0.9963468156410618,0.9942189699347873,0.9971743188293885,0.9968888491072673
जिम्मेदारी,0.9925084443627455,0.9918281315918466,0.9940181290645834,0.9940181290645834,0.9944835566231421,0.9918281315918466,0.9940181290645834,0.9943305273782644,0.995769902894975,0.9954148087946243,0.9999999999999991,0.995840099414262,0.994592189657519,0.9939812183590864,0.9999999999999991,0.995840099414262,0.9759287148992783,0.9909905129096312,0.9914321227833272,0.9959635238477564,0.9946450820951687,0.9933882120897609,0.9947531719082782,0.9933882120897609,0.9950611464927354,0.9950294487659083
मजबूरी,0.992515133772132,0.993018870914061,0.9958703485072077,0.9958703485072077,0.995363766021781,0.993018870914061,0.9958703485072077,0.9930255348030311,0.9963656245654393,0.9963310404885999,0.995840099414262,1.0,0.996073109683256,0.9965584920461752,0.995840099414262,1.0,0.9758730150347295,0.991785171413224,0.9923591450762712,0.9962053510578127,0.9948998939014535,0.9949102234008748,0.9963802801056353,0.9949102234008748,0.9962237612269017,0.9972410963299251
बाध्य,0.9921297296544335,0.9943083055507678,0.997139811565795,0.997139811565795,0.9968321944197212,0.9943083055507678,0.997139811565795,0.9930639384186984,0.9964759083218181,0.9960815915789019,0.994592189657519,0.996073109683256,0.9999999999999994,0.9959687467973781,0.994592189657519,0.996073109683256,0.9793369424167345,0.9939579661109097,0.9941033003281908,0.9966529715227864,0.9948140546859823,0.9953748256599724,0.9970862461834492,0.9953748256599724,0.9966556540017968,0.9959470780662639
मजबूर,0.9911003636835566,0.9940861577571538,0.9964419721865234,0.9964419721865234,0.9943540083914303,0.9940861577571538,0.9964419721865234,0.9930812338947907,0.9950865512448728,0.994949011336642,0.9939812183590864,0.9965584920461752,0.9959687467973781,0.9999999999999993,0.9939812183590864,0.9965584920461752,0.9826604777103755,0.9950562395643632,0.9944059140140322,0.9955547980481325,0.9937016000277042,0.9959851074364308,0.9968548700886896,0.9959851074364308,0.9954072097187768,0.9960284306908601
जिम्मेदारी,0.9925084443627455,0.9918281315918466,0.9940181290645834,0.9940181290645834,0.9944835566231421,0.9918281315918466,0.9940181290645834,0.9943305273782644,0.995769902894975,0.9954148087946243,0.9999999999999991,0.995840099414262,0.994592189657519,0.9939812183590864,0.9999999999999991,0.995840099414262,0.9759287148992783,0.9909905129096312,0.9914321227833272,0.9959635238477564,0.9946450820951687,0.9933882120897609,0.9947531719082782,0.9933882120897609,0.9950611464927354,0.9950294487659083
मजबूरी,0.992515133772132,0.993018870914061,0.9958703485072077,0.9958703485072077,0.995363766021781,0.993018870914061,0.9958703485072077,0.9930255348030311,0.9963656245654393,0.9963310404885999,0.995840099414262,1.0,0.996073109683256,0.9965584920461752,0.995840099414262,1.0,0.9758730150347295,0.991785171413224,0.9923591450762712,0.9962053510578127,0.9948998939014535,0.9949102234008748,0.9963802801056353,0.9949102234008748,0.9962237612269017,0.9972410963299251
कर्ज में बा,0.9729004300377301,0.9804027153768924,0.9807368433800546,0.9807368433800546,0.9780100145382897,0.9804027153768924,0.9807368433800546,0.9790184619246441,0.976318691145965,0.9759174144847272,0.9759287148992783,0.9758730150347295,0.9793369424167345,0.9826604777103755,0.9759287148992783,0.9758730150347295,1.0000000000000004,0.9908742253287786,0.9806381612663454,0.9783382981196758,0.975691790636881,0.9822097929583428,0.9816085850308258,0.9822097929583428,0.9773562583468068,0.9774622030827123
कर्जदार बा,0.9877052975433965,0.9926239954259484,0.994484218148235,0.994484218148235,0.9918463588476465,0.9926239954259484,0.994484218148235,0.9918164624391694,0.9923437855214965,0.991887027153852,0.9909905129096312,0.991785171413224,0.9939579661109097,0.9950562395643632,0.9909905129096312,0.991785171413224,0.9908742253287786,0.9999999999999993,0.992760627811767,0.9928254700323593,0.9908981742129065,0.9946357700918255,0.9949589191091344,0.9946357700918255,0.9924234035571151,0.9926648755710848
माफियन,0.9897539444538777,0.9912507715979412,0.9931078069730637,0.9931078069730637,0.9915881612414662,0.9912507715979412,0.9931078069730637,0.9904176338472299,0.993319616902475,0.9929532256137438,0.9914321227833272,0.9923591450762712,0.9941033003281908,0.9944059140140322,0.9914321227833272,0.9923591450762712,0.9806381612663454,0.992760627811767,0.9999999999999999,0.9954859082233867,0.9903514322721567,0.9938821604169326,0.9962471678539578,0.9938821604169326,0.993744992055881,0.9934642306515262
माफी,0.9923928413212812,0.9930534757146977,0.9958014308039572,0.9958014308039572,0.9948997871979184,0.9930534757146977,0.9958014308039572,0.9934347061386605,0.9963498675803353,0.9962202151330122,0.9959635238477564,0.9962053510578127,0.9966529715227864,0.9955547980481325,0.9959635238477564,0.9962053510578127,0.9783382981196758,0.9928254700323593,0.9954859082233867,0.9999999999999996,0.9945761077673969,0.9963747671242454,0.9976828175363927,0.9963747671242454,0.9976686955478044,0.9971100530277308
दुःख,0.9929003838809981,0.9919495096560401,0.9957996123752275,0.9957996123752275,0.9956115534038866,0.9919495096560401,0.9957996123752275,0.9937194463298558,0.9946775815500744,0.9939075893242438,0.9946450820951687,0.9948998939014535,0.9948140546859823,0.9937016000277042,0.9946450820951687,0.9948998939014535,0.975691790636881,0.9908981742129065,0.9903514322721567,0.9945761077673969,0.9999999999999996,0.9940859535202949,0.9948566807632471,0.9940859535202949,0.9944433356576089,0.9949091264860577
माफ करीं,0.9901978406222711,0.9923138318270804,0.9965606412617746,0.9965606412617746,0.9942780067532556,0.9923138318270804,0.9965606412617746,0.9933683367563687,0.9945434995475458,0.9942189699347873,0.9933882120897609,0.9949102234008748,0.9953748256599724,0.9959851074364308,0.9933882120897609,0.9949102234008748,0.9822097929583428,0.9946357700918255,0.9938821604169326,0.9963747671242454,0.9940859535202949,0.9999999999999999,0.9980894746047637,0.9999999999999999,0.9959854844037044,0.9961464980172383
माफ करs,0.9924427508394313,0.9935563510109182,0.9969950569995133,0.9969950569995133,0.9954739531967355,0.9935563510109182,0.9969950569995133,0.9943371760671952,0.9969252176970593,0.9963468156410618,0.9947531719082782,0.9963802801056353,0.9970862461834492,0.9968548700886896,0.9947531719082782,0.9963802801056353,0.9816085850308258,0.9949589191091344,0.9962471678539578,0.9976828175363927,0.9948566807632471,0.9980894746047637,0.9999999999999998,0.9980894746047637,0.9971911552630911,0.9972241451113595
माफ करीं,0.9901978406222711,0.9923138318270804,0.9965606412617746,0.9965606412617746,0.9942780067532556,0.9923138318270804,0.9965606412617746,0.9933683367563687,0.9945434995475458,0.9942189699347873,0.9933882120897609,0.9949102234008748,0.9953748256599724,0.9959851074364308,0.9933882120897609,0.9949102234008748,0.9822097929583428,0.9946357700918255,0.9938821604169326,0.9963747671242454,0.9940859535202949,0.9999999999999999,0.9980894746047637,0.9999999999999999,0.9959854844037044,0.9961464980172383
माफी माँगत,0.9923772617505882,0.9936768397345522,0.9960625745995031,0.9960625745995031,0.9952425716662172,0.9936768397345522,0.9960625745995031,0.9927466851256881,0.9971153956664603,0.9971743188293885,0.9950611464927354,0.9962237612269017,0.9966556540017968,0.9954072097187768,0.9950611464927354,0.9962237612269017,0.9773562583468068,0.9924234035571151,0.993744992055881,0.9976686955478044,0.9944433356576089,0.9959854844037044,0.9971911552630911,0.9959854844037044,0.9999999999999994,0.9979960239756143
माफी मंगल,0.991832564068547,0.9930324746494056,0.9962755423085216,0.9962755423085216,0.995235386196482,0.9930324746494056,0.9962755423085216,0.9933851428068136,0.9968609726596577,0.9968888491072673,0.9950294487659083,0.9972410963299251,0.9959470780662639,0.9960284306908601,0.9950294487659083,0.9972410963299251,0.9774622030827123,0.9926648755710848,0.9934642306515262,0.9971100530277308,0.9949091264860577,0.9961464980172383,0.9972241451113595,0.9961464980172383,0.9979960239756143,0.9999999999999994
