,pahalagahan,pagpahalog,mabalos,pagkamabalos,pasasalamat,salamat,mabalos,pagpasalamat,utangan,utang,obligasyon,obligado,piritan,obligasyon,utangon,may utang,may utang,may utang,mapagpatawad,magpatawad,pagpapatawad,pagbasol,pagkonsensya,patawad,may pagkonsensya,mga pagpapatawad,patawad tabi,patawad tabi,patawaron mo ako
pahalagahan,0.9999999999999997,0.9834720355662409,0.9949046991513962,0.978792542572616,0.995618416045188,0.9967074391747905,0.9949046991513962,0.9945430146548169,0.9937456548003372,0.9909500539692442,0.9891378584003409,0.9819823639872508,0.9941512985659227,0.9891378584003409,0.9909007039428553,0.992588437602455,0.992588437602455,0.992588437602455,0.9951459966370706,0.9958770089512425,0.9954095425505177,0.9959599908690964,0.9925181645115978,0.9973238208540811,0.9883003771694429,0.9916852580330404,0.9928551494423495,0.9928551494423495,0.9919778682532282
pagpahalog,0.9834720355662409,0.9999999999999992,0.9814719718529918,0.9827165920454177,0.9812659091301438,0.9820368053365772,0.9814719718529918,0.9889456865890323,0.9809022024750688,0.9800755516603596,0.9776956190549592,0.9683959590906207,0.9832506011949232,0.9776956190549592,0.9798198620790798,0.9826000278179641,0.9826000278179641,0.9826000278179641,0.985362673727177,0.9839508602124194,0.9902440744878416,0.9878772075642017,0.9889817725564954,0.9841808568723964,0.9875206714817173,0.9875809073902755,0.9799531354775892,0.9799531354775892,0.9808627705532882
mabalos,0.9949046991513962,0.9814719718529918,1.0000000000000004,0.9782379680718869,0.9931822425188764,0.9956743236060074,1.0000000000000004,0.9926820685457196,0.9919187910749182,0.9898760488555206,0.9891252982559184,0.9811098077172109,0.9914653081163085,0.9891252982559184,0.9901750982088423,0.9914968064092023,0.9914968064092023,0.9914968064092023,0.9948395179204136,0.994104059068528,0.9932928375262686,0.9942311433838552,0.991098895556358,0.9952580551399257,0.9869694314460984,0.9900979660687712,0.9916412848307649,0.9916412848307649,0.9910502364604805
pagkamabalos,0.978792542572616,0.9827165920454177,0.9782379680718869,0.9999999999999997,0.9785183454232522,0.9785602240211492,0.9782379680718869,0.9839000254250051,0.9782941887828565,0.9758518886176162,0.9731754669943915,0.9703077811411185,0.9791969281129178,0.9731754669943915,0.9763989523850276,0.9785901863512579,0.9785901863512579,0.9785901863512579,0.9822661620040324,0.9809969920717111,0.9833472200683404,0.9833258759308674,0.9835790455522544,0.9804180017637842,0.9830615933656218,0.9838283005733343,0.9753600725139744,0.9753600725139744,0.9783328847345802
pasasalamat,0.995618416045188,0.9812659091301438,0.9931822425188764,0.9785183454232522,0.9999999999999993,0.9954411327540017,0.9931822425188764,0.9941377673767545,0.9926274893560516,0.9901319457861889,0.986628655416264,0.9821238810796108,0.9922874823186599,0.986628655416264,0.9900354031365214,0.9916034884961713,0.9916034884961713,0.9916034884961713,0.9940558023535906,0.9943873791318895,0.9932523880407742,0.9948370768537866,0.9907871996617563,0.9952704332421801,0.9862821393288062,0.990410583061125,0.99161171339809,0.99161171339809,0.9901501743776395
salamat,0.9967074391747905,0.9820368053365772,0.9956743236060074,0.9785602240211492,0.9954411327540017,0.9999999999999998,0.9956743236060074,0.9927836661917402,0.9942794209610871,0.9927804427537726,0.9877222476912948,0.9860376281119727,0.9944046441248348,0.9877222476912948,0.9927508396311092,0.9936210106398787,0.9936210106398787,0.9936210106398787,0.9946989327014686,0.9962359307334367,0.9941368458380323,0.9958651014550624,0.9912031270721156,0.9974769110318553,0.98720713434022,0.9915218629525586,0.9943699636231839,0.9943699636231839,0.9939380175879462
mabalos,0.9949046991513962,0.9814719718529918,1.0000000000000004,0.9782379680718869,0.9931822425188764,0.9956743236060074,1.0000000000000004,0.9926820685457196,0.9919187910749182,0.9898760488555206,0.9891252982559184,0.9811098077172109,0.9914653081163085,0.9891252982559184,0.9901750982088423,0.9914968064092023,0.9914968064092023,0.9914968064092023,0.9948395179204136,0.994104059068528,0.9932928375262686,0.9942311433838552,0.991098895556358,0.9952580551399257,0.9869694314460984,0.9900979660687712,0.9916412848307649,0.9916412848307649,0.9910502364604805
pagpasalamat,0.9945430146548169,0.9889456865890323,0.9926820685457196,0.9839000254250051,0.9941377673767545,0.9927836661917402,0.9926820685457196,0.9999999999999992,0.9918856714056375,0.9893264071943303,0.986541356958853,0.9781857859913482,0.9909975852398853,0.986541356958853,0.9894348894015412,0.99099260788381,0.99099260788381,0.99099260788381,0.9951718635845035,0.993243060632653,0.9964096920461825,0.9965684177278405,0.9967379605818457,0.9938861300994296,0.9930471199998476,0.9926668039995138,0.98928449768624,0.98928449768624,0.9895616655471301
utangan,0.9937456548003372,0.9809022024750688,0.9919187910749182,0.9782941887828565,0.9926274893560516,0.9942794209610871,0.9919187910749182,0.9918856714056375,0.9999999999999998,0.9971052095409929,0.9869555746649294,0.9843013606809612,0.9917028681476947,0.9869555746649294,0.9969301034352532,0.9962897330832989,0.9962897330832987,0.9962897330832987,0.9938163022240418,0.9938863805703667,0.9920252513240729,0.9951338795134759,0.9902811782275982,0.9938202790339099,0.9863597430645642,0.9903246184804604,0.9901445112963173,0.9901445112963173,0.9926114809335446
utang,0.9909500539692442,0.9800755516603596,0.9898760488555206,0.9758518886176162,0.9901319457861889,0.9927804427537726,0.9898760488555206,0.9893264071943303,0.9971052095409929,0.9999999999999994,0.9838646854627024,0.9836190683083604,0.9890574582423736,0.9838646854627024,0.9973929250345349,0.9976756398983867,0.9976756398983876,0.9976756398983876,0.9916447647191237,0.992499481831847,0.9896204573475682,0.9928499942667135,0.9876563045943704,0.9918730989236978,0.9840577196971562,0.9884872848513316,0.988015302395785,0.988015302395785,0.992345183635348
obligasyon,0.9891378584003409,0.9776956190549592,0.9891252982559184,0.9731754669943915,0.986628655416264,0.9877222476912948,0.9891252982559184,0.986541356958853,0.9869555746649294,0.9838646854627024,0.9999999999999993,0.9752310649010764,0.9872658080511671,0.9999999999999993,0.9852585302094,0.9852131982049284,0.985213198204929,0.985213198204929,0.9895816700954337,0.9874400504384899,0.9877856211856505,0.9887311154701405,0.987385876596263,0.9882644941870525,0.9847885955836447,0.9855034702205983,0.9865841265538213,0.9865841265538213,0.9847616691621803
obligado,0.9819823639872508,0.9683959590906207,0.9811098077172109,0.9703077811411185,0.9821238810796108,0.9860376281119727,0.9811098077172109,0.9781857859913482,0.9843013606809612,0.9836190683083604,0.9752310649010764,1.0000000000000002,0.982288897002581,0.9752310649010764,0.9847653689239567,0.9833906668004323,0.9833906668004319,0.9833906668004319,0.9825499982621063,0.9854439053563442,0.9818875755928504,0.9839203434561414,0.9783480256457809,0.9848086103529052,0.974274898371614,0.9812138136643794,0.9828276140617939,0.9828276140617939,0.9844641460961717
piritan,0.9941512985659227,0.9832506011949232,0.9914653081163085,0.9791969281129178,0.9922874823186599,0.9944046441248348,0.9914653081163085,0.9909975852398853,0.9917028681476947,0.9890574582423736,0.9872658080511671,0.982288897002581,0.9999999999999994,0.9872658080511671,0.9895967284391084,0.9911543010548316,0.9911543010548324,0.9911543010548324,0.9927058486747321,0.9940097777835336,0.992836102175152,0.9943138288192759,0.9904714455193238,0.9945221532120911,0.9872591308738128,0.9908784635037546,0.9911183551469779,0.9911183551469779,0.9920683213646488
obligasyon,0.9891378584003409,0.9776956190549592,0.9891252982559184,0.9731754669943915,0.986628655416264,0.9877222476912948,0.9891252982559184,0.986541356958853,0.9869555746649294,0.9838646854627024,0.9999999999999993,0.9752310649010764,0.9872658080511671,0.9999999999999993,0.9852585302094,0.9852131982049284,0.985213198204929,0.985213198204929,0.9895816700954337,0.9874400504384899,0.9877856211856505,0.9887311154701405,0.987385876596263,0.9882644941870525,0.9847885955836447,0.9855034702205983,0.9865841265538213,0.9865841265538213,0.9847616691621803
utangon,0.9909007039428553,0.9798198620790798,0.9901750982088423,0.9763989523850276,0.9900354031365214,0.9927508396311092,0.9901750982088423,0.9894348894015412,0.9969301034352532,0.9973929250345349,0.9852585302094,0.9847653689239567,0.9895967284391084,0.9852585302094,0.9999999999999997,0.995354920527987,0.9953549205279874,0.9953549205279874,0.9920554773698604,0.9925629655251953,0.9896829216325049,0.9929755973904149,0.9881322847165411,0.9918669768825413,0.9841121766431302,0.9887067042681512,0.9889590356549478,0.9889590356549478,0.9922158298442824
may utang,0.992588437602455,0.9826000278179641,0.9914968064092023,0.9785901863512579,0.9916034884961713,0.9936210106398787,0.9914968064092023,0.99099260788381,0.9962897330832989,0.9976756398983867,0.9852131982049284,0.9833906668004323,0.9911543010548316,0.9852131982049284,0.995354920527987,0.9999999999999997,1.0,1.0,0.992979398546099,0.9945512011288693,0.9921417995534143,0.9946386228512779,0.9899022608343347,0.9939497193870179,0.9874662689706657,0.9913569883783077,0.9894311103162164,0.9894311103162164,0.9936108460090471
may utang,0.992588437602455,0.9826000278179641,0.9914968064092023,0.9785901863512579,0.9916034884961713,0.9936210106398787,0.9914968064092023,0.99099260788381,0.9962897330832987,0.9976756398983876,0.985213198204929,0.9833906668004319,0.9911543010548324,0.985213198204929,0.9953549205279874,1.0,0.9999999999999997,0.9999999999999997,0.9929793985460992,0.9945512011288695,0.9921417995534141,0.9946386228512782,0.989902260834335,0.993949719387019,0.9874662689706657,0.9913569883783077,0.9894311103162164,0.9894311103162164,0.9936108460090471
may utang,0.992588437602455,0.9826000278179641,0.9914968064092023,0.9785901863512579,0.9916034884961713,0.9936210106398787,0.9914968064092023,0.99099260788381,0.9962897330832987,0.9976756398983876,0.985213198204929,0.9833906668004319,0.9911543010548324,0.985213198204929,0.9953549205279874,1.0,0.9999999999999997,0.9999999999999997,0.9929793985460992,0.9945512011288695,0.9921417995534141,0.9946386228512782,0.989902260834335,0.993949719387019,0.9874662689706657,0.9913569883783077,0.9894311103162164,0.9894311103162164,0.9936108460090471
mapagpatawad,0.9951459966370706,0.985362673727177,0.9948395179204136,0.9822661620040324,0.9940558023535906,0.9946989327014686,0.9948395179204136,0.9951718635845035,0.9938163022240418,0.9916447647191237,0.9895816700954337,0.9825499982621063,0.9927058486747321,0.9895816700954337,0.9920554773698604,0.992979398546099,0.9929793985460992,0.9929793985460992,0.9999999999999998,0.9970079163337358,0.9971062327363381,0.9963533777463348,0.993529020045813,0.9959203085851804,0.9902785293154449,0.9934016380608959,0.9921589894201186,0.9921589894201186,0.9928460351861561
magpatawad,0.9958770089512425,0.9839508602124194,0.994104059068528,0.9809969920717111,0.9943873791318895,0.9962359307334367,0.994104059068528,0.993243060632653,0.9938863805703667,0.992499481831847,0.9874400504384899,0.9854439053563442,0.9940097777835336,0.9874400504384899,0.9925629655251953,0.9945512011288693,0.9945512011288695,0.9945512011288695,0.9970079163337358,0.9999999999999992,0.9964505752663311,0.9959189834655207,0.9917983165416981,0.9979725934823371,0.9883897339405392,0.9939941845912467,0.9937333683448768,0.9937333683448768,0.9942869948549994
pagpapatawad,0.9954095425505177,0.9902440744878416,0.9932928375262686,0.9833472200683404,0.9932523880407742,0.9941368458380323,0.9932928375262686,0.9964096920461825,0.9920252513240729,0.9896204573475682,0.9877856211856505,0.9818875755928504,0.992836102175152,0.9877856211856505,0.9896829216325049,0.9921417995534143,0.9921417995534141,0.9921417995534141,0.9971062327363381,0.9964505752663311,0.9999999999999993,0.9971188292994484,0.9955949976741155,0.9961600471282455,0.9924418421625026,0.995717816273666,0.9920125063518054,0.9920125063518054,0.9917721562088964
pagbasol,0.9959599908690964,0.9878772075642017,0.9942311433838552,0.9833258759308674,0.9948370768537866,0.9958651014550624,0.9942311433838552,0.9965684177278405,0.9951338795134759,0.9928499942667135,0.9887311154701405,0.9839203434561414,0.9943138288192759,0.9887311154701405,0.9929755973904149,0.9946386228512779,0.9946386228512782,0.9946386228512782,0.9963533777463348,0.9959189834655207,0.9971188292994484,1.0,0.9949646182281464,0.9964557255820481,0.9914927890941301,0.9940934049104614,0.9927731080608084,0.9927731080608084,0.9935269255771201
pagkonsensya,0.9925181645115978,0.9889817725564954,0.991098895556358,0.9835790455522544,0.9907871996617563,0.9912031270721156,0.991098895556358,0.9967379605818457,0.9902811782275982,0.9876563045943704,0.987385876596263,0.9783480256457809,0.9904714455193238,0.987385876596263,0.9881322847165411,0.9899022608343347,0.989902260834335,0.989902260834335,0.993529020045813,0.9917983165416981,0.9955949976741155,0.9949646182281464,0.9999999999999998,0.9919671129654472,0.9966481014737947,0.9937182408909966,0.987252040936664,0.987252040936664,0.988493231871876
patawad,0.9973238208540811,0.9841808568723964,0.9952580551399257,0.9804180017637842,0.9952704332421801,0.9974769110318553,0.9952580551399257,0.9938861300994296,0.9938202790339099,0.9918730989236978,0.9882644941870525,0.9848086103529052,0.9945221532120911,0.9882644941870525,0.9918669768825413,0.9939497193870179,0.993949719387019,0.993949719387019,0.9959203085851804,0.9979725934823371,0.9961600471282455,0.9964557255820481,0.9919671129654472,0.9999999999999994,0.9883811099566562,0.99259602841749,0.9949959512680434,0.9949959512680434,0.9940974752308028
may pagkonsensya,0.9883003771694429,0.9875206714817173,0.9869694314460984,0.9830615933656218,0.9862821393288062,0.98720713434022,0.9869694314460984,0.9930471199998476,0.9863597430645642,0.9840577196971562,0.9847885955836447,0.974274898371614,0.9872591308738128,0.9847885955836447,0.9841121766431302,0.9874662689706657,0.9874662689706657,0.9874662689706657,0.9902785293154449,0.9883897339405392,0.9924418421625026,0.9914927890941301,0.9966481014737947,0.9883811099566562,1.0,0.9915014227796681,0.9834360724801647,0.9834360724801647,0.9855500436238072
mga pagpapatawad,0.9916852580330404,0.9875809073902755,0.9900979660687712,0.9838283005733343,0.990410583061125,0.9915218629525586,0.9900979660687712,0.9926668039995138,0.9903246184804604,0.9884872848513316,0.9855034702205983,0.9812138136643794,0.9908784635037546,0.9855034702205983,0.9887067042681512,0.9913569883783077,0.9913569883783077,0.9913569883783077,0.9934016380608959,0.9939941845912467,0.995717816273666,0.9940934049104614,0.9937182408909966,0.99259602841749,0.9915014227796681,0.9999999999999989,0.9885089883703873,0.9885089883703873,0.9911340917302592
patawad tabi,0.9928551494423495,0.9799531354775892,0.9916412848307649,0.9753600725139744,0.99161171339809,0.9943699636231839,0.9916412848307649,0.98928449768624,0.9901445112963173,0.988015302395785,0.9865841265538213,0.9828276140617939,0.9911183551469779,0.9865841265538213,0.9889590356549478,0.9894311103162164,0.9894311103162164,0.9894311103162164,0.9921589894201186,0.9937333683448768,0.9920125063518054,0.9927731080608084,0.987252040936664,0.9949959512680434,0.9834360724801647,0.9885089883703873,0.9999999999999997,0.9999999999999997,0.9920364706221542
patawad tabi,0.9928551494423495,0.9799531354775892,0.9916412848307649,0.9753600725139744,0.99161171339809,0.9943699636231839,0.9916412848307649,0.98928449768624,0.9901445112963173,0.988015302395785,0.9865841265538213,0.9828276140617939,0.9911183551469779,0.9865841265538213,0.9889590356549478,0.9894311103162164,0.9894311103162164,0.9894311103162164,0.9921589894201186,0.9937333683448768,0.9920125063518054,0.9927731080608084,0.987252040936664,0.9949959512680434,0.9834360724801647,0.9885089883703873,0.9999999999999997,0.9999999999999997,0.9920364706221542
patawaron mo ako,0.9919778682532282,0.9808627705532882,0.9910502364604805,0.9783328847345802,0.9901501743776395,0.9939380175879462,0.9910502364604805,0.9895616655471301,0.9926114809335446,0.992345183635348,0.9847616691621803,0.9844641460961717,0.9920683213646488,0.9847616691621803,0.9922158298442824,0.9936108460090471,0.9936108460090471,0.9936108460090471,0.9928460351861561,0.9942869948549994,0.9917721562088964,0.9935269255771201,0.988493231871876,0.9940974752308028,0.9855500436238072,0.9911340917302592,0.9920364706221542,0.9920364706221542,0.9999999999999996
