,ਸਰਾਹਨਾ,ਕਦਰ,ਕ੍ਰਿਤਘਨ,ਕ੍ਰਿਤਘਨਤਾ,ਧੰਨਵਾਦ,ਧੰਨਵਾਦ,ਧੰਨਵਾਦੀ,ਧੰਨਵਾਦ,ਕ਼ਰਜ਼ਦਾਰ,ਕ਼ਰਜ਼ਦਾਰੀ,ਜ਼ਿੰਮੇਵਾਰੀ,ਫ਼ਰਜ਼,ਬਾਧਿਆ,ਮਜਬੂਰ,ਜ਼ਿੰਮੇਵਾਰੀ,ਫ਼ਰਜ਼,ਕਰਜ਼ਦਾਰ,ਕਰਜ਼ ਵਿਚ,ਕਰਜ਼ਦਾਰ ਹੋਣਾ,ਮਾਫ਼ੀਆਂ,ਮਾਫ਼ੀ,ਖ਼ेद,ਮੈਨੂੰ ਮਾਫ਼ ਕਰਨਾ,ਮੈਨੂੰ ਮਾਫ਼ ਕਰਨਾ,ਮਾਫ਼ ਕਰਨਾ,ਮਾਫ਼ੀ ਮੰਗਣ ਵਾਲਾ,ਮਾਫ਼ੀ ਮੰਗਣਾ
ਸਰਾਹਨਾ,0.9999999999999999,0.9952155426030768,0.9970062815726508,0.9952539974034931,0.9946464526418193,0.9946464526418193,0.9943778770577592,0.9946464526418193,0.9950843534500594,0.9937706772158104,0.9938898713261829,0.9927878905121328,0.9971293118883495,0.9922283283903001,0.9938898713261829,0.9927878905121328,0.9950843534500594,0.9930019537681506,0.9918006000186228,0.9957591402725797,0.996033582674546,0.9930908434969817,0.9867769894252444,0.9867769894252444,0.9911824173052074,0.9936439770463789,0.9941088522859178
ਕਦਰ,0.9952155426030768,0.9999999999999999,0.9961710792159078,0.9958163296887309,0.995603631726503,0.995603631726503,0.9954358165239772,0.995603631726503,0.9961657233057161,0.9956562209850185,0.99537784821196,0.993243276131106,0.9955437007947363,0.9918435495573608,0.99537784821196,0.993243276131106,0.9961657233057161,0.994254587310792,0.992397054705146,0.9961004129553742,0.9963056309834772,0.9946944623369836,0.986769056231352,0.986769056231352,0.991356169008535,0.9950239602470631,0.9945295580089951
ਕ੍ਰਿਤਘਨ,0.9970062815726508,0.9961710792159078,0.9999999999999996,0.9982501849364049,0.9972693821422042,0.9972693821422042,0.9967720916933149,0.9972693821422042,0.9973890659321869,0.9964320521236643,0.9956646765159598,0.9930775619545118,0.9961934052887206,0.9916891841865861,0.9956646765159598,0.9930775619545118,0.9973890659321869,0.9941330913253251,0.9943257267498963,0.9967515454473573,0.9965953735276679,0.9953452416209299,0.9878384506367751,0.9878384506367751,0.9925294406747819,0.9958726077406368,0.9957387401810384
ਕ੍ਰਿਤਘਨਤਾ,0.9952539974034931,0.9958163296887309,0.9982501849364049,0.9999999999999982,0.9971256403634112,0.9971256403634112,0.9971093647716694,0.9971256403634112,0.9966537781353769,0.9963884495352646,0.995963819210604,0.9919463192009246,0.9941523635739166,0.991354943127671,0.995963819210604,0.9919463192009246,0.9966537781353769,0.9929733006627689,0.9955494754442576,0.9963953938642114,0.996450866339576,0.9952817796752031,0.9891767679847571,0.9891767679847571,0.9934869987072532,0.996310168690749,0.9967790878666732
ਧੰਨਵਾਦ,0.9946464526418193,0.995603631726503,0.9972693821422042,0.9971256403634112,0.9999999999999994,0.9999999999999994,0.9986824815362308,0.9999999999999994,0.9963356194979194,0.9962144569225924,0.9954640523717966,0.993307251490984,0.9943368801041339,0.9915766350951876,0.9954640523717966,0.993307251490984,0.9963356194979194,0.9927290572653766,0.9947949154310797,0.996048998867176,0.9955361432544607,0.9962183315595005,0.9870210461560157,0.9870210461560157,0.9916579426070998,0.9953124590463472,0.9951817253304494
ਧੰਨਵਾਦ,0.9946464526418193,0.995603631726503,0.9972693821422042,0.9971256403634112,0.9999999999999994,0.9999999999999994,0.9986824815362308,0.9999999999999994,0.9963356194979194,0.9962144569225924,0.9954640523717966,0.993307251490984,0.9943368801041339,0.9915766350951876,0.9954640523717966,0.993307251490984,0.9963356194979194,0.9927290572653766,0.9947949154310797,0.996048998867176,0.9955361432544607,0.9962183315595005,0.9870210461560157,0.9870210461560157,0.9916579426070998,0.9953124590463472,0.9951817253304494
ਧੰਨਵਾਦੀ,0.9943778770577592,0.9954358165239772,0.9967720916933149,0.9971093647716694,0.9986824815362308,0.9986824815362308,0.9999999999999993,0.9986824815362308,0.9964565561574217,0.9964434443658292,0.9953367110938807,0.9933193281280971,0.9942044376679636,0.991494867294476,0.9953367110938807,0.9933193281280971,0.9964565561574217,0.9930004626933374,0.9948346804812064,0.9959488349101442,0.9957980134276548,0.9950335444333609,0.9874996613738986,0.9874996613738986,0.9919482771967899,0.9955172770452222,0.9949694606208007
ਧੰਨਵਾਦ,0.9946464526418193,0.995603631726503,0.9972693821422042,0.9971256403634112,0.9999999999999994,0.9999999999999994,0.9986824815362308,0.9999999999999994,0.9963356194979194,0.9962144569225924,0.9954640523717966,0.993307251490984,0.9943368801041339,0.9915766350951876,0.9954640523717966,0.993307251490984,0.9963356194979194,0.9927290572653766,0.9947949154310797,0.996048998867176,0.9955361432544607,0.9962183315595005,0.9870210461560157,0.9870210461560157,0.9916579426070998,0.9953124590463472,0.9951817253304494
ਕ਼ਰਜ਼ਦਾਰ,0.9950843534500594,0.9961657233057161,0.9973890659321869,0.9966537781353769,0.9963356194979194,0.9963356194979194,0.9964565561574217,0.9963356194979194,0.9999999999999996,0.9985733688954079,0.9961980729593723,0.9939032905411959,0.9952425249891197,0.9925164825321652,0.9961980729593723,0.9939032905411959,1.0000000000000002,0.9945789701894969,0.995074645872618,0.9964704383357038,0.996468748138771,0.9942970006177374,0.987594686343381,0.987594686343381,0.9921151023279299,0.9956741950096314,0.9945777744448917
ਕ਼ਰਜ਼ਦਾਰੀ,0.9937706772158104,0.9956562209850185,0.9964320521236643,0.9963884495352646,0.9962144569225924,0.9962144569225924,0.9964434443658292,0.9962144569225924,0.9985733688954079,1.0000000000000002,0.996372580405887,0.9934389286744474,0.9939845713789672,0.9923338602390728,0.996372580405887,0.9934389286744474,0.9985733688954077,0.9937199806417552,0.9951062040460195,0.996072979774727,0.9958489276407582,0.9950804907317695,0.9868054222062783,0.9868054222062783,0.9914644643707675,0.9956519974471012,0.9942468194665997
ਜ਼ਿੰਮੇਵਾਰੀ,0.9938898713261829,0.99537784821196,0.9956646765159598,0.995963819210604,0.9954640523717966,0.9954640523717966,0.9953367110938807,0.9954640523717966,0.9961980729593723,0.996372580405887,0.9999999999999992,0.9928839919718772,0.9938306288112599,0.9926499741215051,0.9999999999999992,0.9928839919718772,0.996198072959373,0.9933791485627852,0.9947536660239205,0.9962007301757818,0.9962812081592493,0.9934946919920549,0.98743319775889,0.98743319775889,0.9921579285843729,0.9955115190890703,0.9949023982402493
ਫ਼ਰਜ਼,0.9927878905121328,0.993243276131106,0.9930775619545118,0.9919463192009246,0.993307251490984,0.993307251490984,0.9933193281280971,0.993307251490984,0.9939032905411959,0.9934389286744474,0.9928839919718772,0.9999999999999997,0.9923465371435791,0.9924133888762168,0.9928839919718772,0.9999999999999997,0.9939032905411948,0.9935529193251071,0.990920885866171,0.9943429499166392,0.9947417997881055,0.9918480067100823,0.9848423664031374,0.9848423664031374,0.989745526329624,0.9923364150633502,0.9915833824284211
ਬਾਧਿਆ,0.9971293118883495,0.9955437007947363,0.9961934052887206,0.9941523635739166,0.9943368801041339,0.9943368801041339,0.9942044376679636,0.9943368801041339,0.9952425249891197,0.9939845713789672,0.9938306288112599,0.9923465371435791,1.0000000000000002,0.9910999394046371,0.9938306288112599,0.9923465371435791,0.99524252498912,0.9930526143913461,0.9912500714179431,0.9955608563960195,0.9957852090377428,0.9931717122887747,0.985677774188558,0.985677774188558,0.9904449307545343,0.9940834123286668,0.9937038524162916
ਮਜਬੂਰ,0.9922283283903001,0.9918435495573608,0.9916891841865861,0.991354943127671,0.9915766350951876,0.9915766350951876,0.991494867294476,0.9915766350951876,0.9925164825321652,0.9923338602390728,0.9926499741215051,0.9924133888762168,0.9910999394046371,0.9999999999999991,0.9926499741215051,0.9924133888762168,0.9925164825321655,0.9901395967292201,0.9897762443693096,0.993105209503254,0.9938885097440905,0.9896234904062854,0.9869737134785123,0.9869737134785123,0.9900661129066274,0.991596546843309,0.991185450398285
ਜ਼ਿੰਮੇਵਾਰੀ,0.9938898713261829,0.99537784821196,0.9956646765159598,0.995963819210604,0.9954640523717966,0.9954640523717966,0.9953367110938807,0.9954640523717966,0.9961980729593723,0.996372580405887,0.9999999999999992,0.9928839919718772,0.9938306288112599,0.9926499741215051,0.9999999999999992,0.9928839919718772,0.996198072959373,0.9933791485627852,0.9947536660239205,0.9962007301757818,0.9962812081592493,0.9934946919920549,0.98743319775889,0.98743319775889,0.9921579285843729,0.9955115190890703,0.9949023982402493
ਫ਼ਰਜ਼,0.9927878905121328,0.993243276131106,0.9930775619545118,0.9919463192009246,0.993307251490984,0.993307251490984,0.9933193281280971,0.993307251490984,0.9939032905411959,0.9934389286744474,0.9928839919718772,0.9999999999999997,0.9923465371435791,0.9924133888762168,0.9928839919718772,0.9999999999999997,0.9939032905411948,0.9935529193251071,0.990920885866171,0.9943429499166392,0.9947417997881055,0.9918480067100823,0.9848423664031374,0.9848423664031374,0.989745526329624,0.9923364150633502,0.9915833824284211
ਕਰਜ਼ਦਾਰ,0.9950843534500594,0.9961657233057161,0.9973890659321869,0.9966537781353769,0.9963356194979194,0.9963356194979194,0.9964565561574217,0.9963356194979194,1.0000000000000002,0.9985733688954077,0.996198072959373,0.9939032905411948,0.99524252498912,0.9925164825321655,0.996198072959373,0.9939032905411948,0.9999999999999996,0.9945789701894979,0.9950746458726191,0.9964704383357044,0.9964687481387712,0.9942970006177385,0.987594686343381,0.987594686343381,0.9921151023279299,0.9956741950096314,0.9945777744448917
ਕਰਜ਼ ਵਿਚ,0.9930019537681506,0.994254587310792,0.9941330913253251,0.9929733006627689,0.9927290572653766,0.9927290572653766,0.9930004626933374,0.9927290572653766,0.9945789701894969,0.9937199806417552,0.9933791485627852,0.9935529193251071,0.9930526143913461,0.9901395967292201,0.9933791485627852,0.9935529193251071,0.9945789701894979,1.0000000000000002,0.9894822258911081,0.994703402506555,0.9948440463818655,0.9905980326314079,0.9841400528063611,0.9841400528063611,0.9889094993951079,0.9929365407467896,0.9915441590601167
ਕਰਜ਼ਦਾਰ ਹੋਣਾ,0.9918006000186228,0.992397054705146,0.9943257267498963,0.9955494754442576,0.9947949154310797,0.9947949154310797,0.9948346804812064,0.9947949154310797,0.995074645872618,0.9951062040460195,0.9947536660239205,0.990920885866171,0.9912500714179431,0.9897762443693096,0.9947536660239205,0.990920885866171,0.9950746458726191,0.9894822258911081,0.9999999999999996,0.9940955903310295,0.9945416020368467,0.993743074655898,0.9913412773668376,0.9913412773668376,0.9950349696558485,0.995049195489084,0.9959860692587764
ਮਾਫ਼ੀਆਂ,0.9957591402725797,0.9961004129553742,0.9967515454473573,0.9963953938642114,0.996048998867176,0.996048998867176,0.9959488349101442,0.996048998867176,0.9964704383357038,0.996072979774727,0.9962007301757818,0.9943429499166392,0.9955608563960195,0.993105209503254,0.9962007301757818,0.9943429499166392,0.9964704383357044,0.994703402506555,0.9940955903310295,0.9999999999999997,0.9984430405667092,0.9952080674853858,0.9887731448671864,0.9887731448671864,0.9932584566510007,0.9963078593136934,0.9963577547338033
ਮਾਫ਼ੀ,0.996033582674546,0.9963056309834772,0.9965953735276679,0.996450866339576,0.9955361432544607,0.9955361432544607,0.9957980134276548,0.9955361432544607,0.996468748138771,0.9958489276407582,0.9962812081592493,0.9947417997881055,0.9957852090377428,0.9938885097440905,0.9962812081592493,0.9947417997881055,0.9964687481387712,0.9948440463818655,0.9945416020368467,0.9984430405667092,0.999999999999999,0.99469306203251,0.9906126835026596,0.9906126835026596,0.9947892393797533,0.9968737847621049,0.9976423219254454
ਖ਼ेद,0.9930908434969817,0.9946944623369836,0.9953452416209299,0.9952817796752031,0.9962183315595005,0.9962183315595005,0.9950335444333609,0.9962183315595005,0.9942970006177374,0.9950804907317695,0.9934946919920549,0.9918480067100823,0.9931717122887747,0.9896234904062854,0.9934946919920549,0.9918480067100823,0.9942970006177385,0.9905980326314079,0.993743074655898,0.9952080674853858,0.99469306203251,0.9999999999999991,0.9859033575852922,0.9859033575852922,0.990908175834492,0.9939644046457445,0.9945566304131036
ਮੈਨੂੰ ਮਾਫ਼ ਕਰਨਾ,0.9867769894252444,0.986769056231352,0.9878384506367751,0.9891767679847571,0.9870210461560157,0.9870210461560157,0.9874996613738986,0.9870210461560157,0.987594686343381,0.9868054222062783,0.98743319775889,0.9848423664031374,0.985677774188558,0.9869737134785123,0.98743319775889,0.9848423664031374,0.987594686343381,0.9841400528063611,0.9913412773668376,0.9887731448671864,0.9906126835026596,0.9859033575852922,0.9999999999999998,0.9999999999999998,0.9981182061607431,0.989717715192908,0.9935845867188599
ਮੈਨੂੰ ਮਾਫ਼ ਕਰਨਾ,0.9867769894252444,0.986769056231352,0.9878384506367751,0.9891767679847571,0.9870210461560157,0.9870210461560157,0.9874996613738986,0.9870210461560157,0.987594686343381,0.9868054222062783,0.98743319775889,0.9848423664031374,0.985677774188558,0.9869737134785123,0.98743319775889,0.9848423664031374,0.987594686343381,0.9841400528063611,0.9913412773668376,0.9887731448671864,0.9906126835026596,0.9859033575852922,0.9999999999999998,0.9999999999999998,0.9981182061607431,0.989717715192908,0.9935845867188599
ਮਾਫ਼ ਕਰਨਾ,0.9911824173052074,0.991356169008535,0.9925294406747819,0.9934869987072532,0.9916579426070998,0.9916579426070998,0.9919482771967899,0.9916579426070998,0.9921151023279299,0.9914644643707675,0.9921579285843729,0.989745526329624,0.9904449307545343,0.9900661129066274,0.9921579285843729,0.989745526329624,0.9921151023279299,0.9889094993951079,0.9950349696558485,0.9932584566510007,0.9947892393797533,0.990908175834492,0.9981182061607431,0.9981182061607431,0.9999999999999998,0.9938733270046928,0.9967584591389503
ਮਾਫ਼ੀ ਮੰਗਣ ਵਾਲਾ,0.9936439770463789,0.9950239602470631,0.9958726077406368,0.996310168690749,0.9953124590463472,0.9953124590463472,0.9955172770452222,0.9953124590463472,0.9956741950096314,0.9956519974471012,0.9955115190890703,0.9923364150633502,0.9940834123286668,0.991596546843309,0.9955115190890703,0.9923364150633502,0.9956741950096314,0.9929365407467896,0.995049195489084,0.9963078593136934,0.9968737847621049,0.9939644046457445,0.989717715192908,0.989717715192908,0.9938733270046928,1.0,0.9968387014071345
ਮਾਫ਼ੀ ਮੰਗਣਾ,0.9941088522859178,0.9945295580089951,0.9957387401810384,0.9967790878666732,0.9951817253304494,0.9951817253304494,0.9949694606208007,0.9951817253304494,0.9945777744448917,0.9942468194665997,0.9949023982402493,0.9915833824284211,0.9937038524162916,0.991185450398285,0.9949023982402493,0.9915833824284211,0.9945777744448917,0.9915441590601167,0.9959860692587764,0.9963577547338033,0.9976423219254454,0.9945566304131036,0.9935845867188599,0.9935845867188599,0.9967584591389503,0.9968387014071345,0.9999999999999997
