,hindama,hindamine,tänulik,tänulikkus,tänulikkus,aitäh,tänulik,tänulikkus,võlgnik,võlgnevus,kohustus,kohustatud,kohustus,võlgnema,võlgu olev,vabandav,vabandused,vabandama,vabandus,vabandage,kurbus,vabandust,andke andeks
hindama,0.9999999999999992,0.9962202447191811,0.991984966266631,0.98565379049183,0.98565379049183,0.9958313158736447,0.991984966266631,0.98565379049183,0.9934289126488708,0.9954328403238465,0.9915820261572057,0.9904481995365477,0.9915820261572057,0.9946126683627938,0.994759467623381,0.9947632661602954,0.9881241291114883,0.9962848782960771,0.9959241237234754,0.9946251549482957,0.9959435432569034,0.9882797576986018,0.9939886337705343
hindamine,0.9962202447191811,0.9999999999999997,0.9910075968534047,0.9833437987027568,0.9833437987027568,0.9930850617987789,0.9910075968534047,0.9833437987027568,0.9926748608746612,0.9940688891632776,0.9902500504121644,0.9885568858571765,0.9902500504121644,0.994372830178703,0.9920782595881044,0.9926005077365585,0.9862369391981572,0.9928376345516299,0.9939247405191077,0.9931519292352906,0.9952780538409471,0.9856923618998086,0.9910191513819028
tänulik,0.991984966266631,0.9910075968534047,0.9999999999999996,0.9797202556325757,0.9797202556325757,0.9907303065939193,0.9999999999999996,0.9797202556325757,0.9936454833609271,0.9898989100270514,0.9907692970853346,0.9870492778915377,0.9907692970853346,0.9910123426787104,0.9904610715664601,0.9888423484776416,0.9821695838714382,0.9893369872405748,0.9907536202635527,0.9882204227108963,0.992849614347773,0.9820358185629523,0.9880363615723975
tänulikkus,0.98565379049183,0.9833437987027568,0.9797202556325757,0.9999999999999993,0.9999999999999993,0.9824148395753328,0.9797202556325757,0.9999999999999993,0.9798796290967692,0.9884607371114441,0.986408834347566,0.9897579953239142,0.986408834347566,0.9800051700763536,0.9857019161955954,0.9888125384379829,0.99099618350878,0.9891243679772231,0.9888101127508436,0.9839373793275465,0.982453567585076,0.98966538141064,0.9858619661059028
tänulikkus,0.98565379049183,0.9833437987027568,0.9797202556325757,0.9999999999999993,0.9999999999999993,0.9824148395753328,0.9797202556325757,0.9999999999999993,0.9798796290967692,0.9884607371114441,0.986408834347566,0.9897579953239142,0.986408834347566,0.9800051700763536,0.9857019161955954,0.9888125384379829,0.99099618350878,0.9891243679772231,0.9888101127508436,0.9839373793275465,0.982453567585076,0.98966538141064,0.9858619661059028
aitäh,0.9958313158736447,0.9930850617987789,0.9907303065939193,0.9824148395753328,0.9824148395753328,0.9999999999999999,0.9907303065939193,0.9824148395753328,0.9927561548000687,0.9942764247629278,0.9904946182151112,0.9881310782572921,0.9904946182151112,0.9936424104041961,0.993367927955614,0.9925209384428715,0.9843680100490155,0.9923230561992369,0.9927926173108592,0.9930106190141903,0.9947583961659879,0.984933485772309,0.9930659506543833
tänulik,0.991984966266631,0.9910075968534047,0.9999999999999996,0.9797202556325757,0.9797202556325757,0.9907303065939193,0.9999999999999996,0.9797202556325757,0.9936454833609271,0.9898989100270514,0.9907692970853346,0.9870492778915377,0.9907692970853346,0.9910123426787104,0.9904610715664601,0.9888423484776416,0.9821695838714382,0.9893369872405748,0.9907536202635527,0.9882204227108963,0.992849614347773,0.9820358185629523,0.9880363615723975
tänulikkus,0.98565379049183,0.9833437987027568,0.9797202556325757,0.9999999999999993,0.9999999999999993,0.9824148395753328,0.9797202556325757,0.9999999999999993,0.9798796290967692,0.9884607371114441,0.986408834347566,0.9897579953239142,0.986408834347566,0.9800051700763536,0.9857019161955954,0.9888125384379829,0.99099618350878,0.9891243679772231,0.9888101127508436,0.9839373793275465,0.982453567585076,0.98966538141064,0.9858619661059028
võlgnik,0.9934289126488708,0.9926748608746612,0.9936454833609271,0.9798796290967692,0.9798796290967692,0.9927561548000687,0.9936454833609271,0.9798796290967692,0.9999999999999999,0.9934022345919447,0.9903109341669503,0.9866819093081763,0.9903109341669503,0.9949751349777539,0.9943055251795352,0.9907146707822467,0.98297896445315,0.9903935084082194,0.9919110802230378,0.9919234335197055,0.9952680154377558,0.9837945848711157,0.9902014326644704
võlgnevus,0.9954328403238465,0.9940688891632776,0.9898989100270514,0.9884607371114441,0.9884607371114441,0.9942764247629278,0.9898989100270514,0.9884607371114441,0.9934022345919447,0.9999999999999992,0.9919199804278779,0.9916149042443516,0.9919199804278779,0.9952335452981956,0.9959056771524049,0.9944544459938028,0.9895248027007353,0.9944413062536109,0.9956550442655467,0.9942079090519117,0.995010556798849,0.9902253393834943,0.9935930765473235
kohustus,0.9915820261572057,0.9902500504121644,0.9907692970853346,0.986408834347566,0.986408834347566,0.9904946182151112,0.9907692970853346,0.986408834347566,0.9903109341669503,0.9919199804278779,0.9999999999999996,0.9908415188485864,0.9999999999999996,0.9896214932127325,0.9898376771918166,0.9911719614203167,0.986697513281466,0.990363133806085,0.9913418326617943,0.9891260301512468,0.9921959647954637,0.985356003807066,0.9894899623414225
kohustatud,0.9904481995365477,0.9885568858571765,0.9870492778915377,0.9897579953239142,0.9897579953239142,0.9881310782572921,0.9870492778915377,0.9897579953239142,0.9866819093081763,0.9916149042443516,0.9908415188485864,1.0,0.9908415188485864,0.9860384434675998,0.9901539607128014,0.9913433159812722,0.9924649631783936,0.9925958579865556,0.9923266935026382,0.9878071374560472,0.9880875618180412,0.9905693900184986,0.9902554991723299
kohustus,0.9915820261572057,0.9902500504121644,0.9907692970853346,0.986408834347566,0.986408834347566,0.9904946182151112,0.9907692970853346,0.986408834347566,0.9903109341669503,0.9919199804278779,0.9999999999999996,0.9908415188485864,0.9999999999999996,0.9896214932127325,0.9898376771918166,0.9911719614203167,0.986697513281466,0.990363133806085,0.9913418326617943,0.9891260301512468,0.9921959647954637,0.985356003807066,0.9894899623414225
võlgnema,0.9946126683627938,0.994372830178703,0.9910123426787104,0.9800051700763536,0.9800051700763536,0.9936424104041961,0.9910123426787104,0.9800051700763536,0.9949751349777539,0.9952335452981956,0.9896214932127325,0.9860384434675998,0.9896214932127325,0.9999999999999998,0.9935583925570618,0.9911815699776455,0.9831791575396857,0.990883577004472,0.9920310102597003,0.9925634137903145,0.9952347569735233,0.9838760226927048,0.9894994614020589
võlgu olev,0.994759467623381,0.9920782595881044,0.9904610715664601,0.9857019161955954,0.9857019161955954,0.993367927955614,0.9904610715664601,0.9857019161955954,0.9943055251795352,0.9959056771524049,0.9898376771918166,0.9901539607128014,0.9898376771918166,0.9935583925570618,1.0000000000000004,0.9940640264095237,0.9886979439910087,0.9939129886649749,0.9950765064458359,0.9939493822591219,0.9943304000287336,0.9894818048957671,0.9928022774702104
vabandav,0.9947632661602954,0.9926005077365585,0.9888423484776416,0.9888125384379829,0.9888125384379829,0.9925209384428715,0.9888423484776416,0.9888125384379829,0.9907146707822467,0.9944544459938028,0.9911719614203167,0.9913433159812722,0.9911719614203167,0.9911815699776455,0.9940640264095237,0.9999999999999996,0.9929331261344362,0.9978763825031561,0.9971121238462248,0.9955084977125881,0.9914929375921615,0.9947875545413546,0.9928860517342541
vabandused,0.9881241291114883,0.9862369391981572,0.9821695838714382,0.99099618350878,0.99099618350878,0.9843680100490155,0.9821695838714382,0.99099618350878,0.98297896445315,0.9895248027007353,0.986697513281466,0.9924649631783936,0.986697513281466,0.9831791575396857,0.9886979439910087,0.9929331261344362,0.9999999999999994,0.994019873861568,0.9931494624391268,0.9887965967043253,0.985245543394277,0.9958033757769255,0.9877264682575306
vabandama,0.9962848782960771,0.9928376345516299,0.9893369872405748,0.9891243679772231,0.9891243679772231,0.9923230561992369,0.9893369872405748,0.9891243679772231,0.9903935084082194,0.9944413062536109,0.990363133806085,0.9925958579865556,0.990363133806085,0.990883577004472,0.9939129886649749,0.9978763825031561,0.994019873861568,0.9999999999999997,0.9980476777724115,0.9952506113701153,0.9918173324007407,0.9952994066521158,0.9928923120331854
vabandus,0.9959241237234754,0.9939247405191077,0.9907536202635527,0.9888101127508436,0.9888101127508436,0.9927926173108592,0.9907536202635527,0.9888101127508436,0.9919110802230378,0.9956550442655467,0.9913418326617943,0.9923266935026382,0.9913418326617943,0.9920310102597003,0.9950765064458359,0.9971121238462248,0.9931494624391268,0.9980476777724115,0.9999999999999989,0.9967418529903957,0.9939448209120884,0.9947715682179215,0.9937162900391534
vabandage,0.9946251549482957,0.9931519292352906,0.9882204227108963,0.9839373793275465,0.9839373793275465,0.9930106190141903,0.9882204227108963,0.9839373793275465,0.9919234335197055,0.9942079090519117,0.9891260301512468,0.9878071374560472,0.9891260301512468,0.9925634137903145,0.9939493822591219,0.9955084977125881,0.9887965967043253,0.9952506113701153,0.9967418529903957,0.9999999999999984,0.9929723387246528,0.9915191037956299,0.9918975782910768
kurbus,0.9959435432569034,0.9952780538409471,0.992849614347773,0.982453567585076,0.982453567585076,0.9947583961659879,0.992849614347773,0.982453567585076,0.9952680154377558,0.995010556798849,0.9921959647954637,0.9880875618180412,0.9921959647954637,0.9952347569735233,0.9943304000287336,0.9914929375921615,0.985245543394277,0.9918173324007407,0.9939448209120884,0.9929723387246528,0.9999999999999994,0.9849337136401098,0.9927598685184935
vabandust,0.9882797576986018,0.9856923618998086,0.9820358185629523,0.98966538141064,0.98966538141064,0.984933485772309,0.9820358185629523,0.98966538141064,0.9837945848711157,0.9902253393834943,0.985356003807066,0.9905693900184986,0.985356003807066,0.9838760226927048,0.9894818048957671,0.9947875545413546,0.9958033757769255,0.9952994066521158,0.9947715682179215,0.9915191037956299,0.9849337136401098,0.9999999999999999,0.987654727609232
andke andeks,0.9939886337705343,0.9910191513819028,0.9880363615723975,0.9858619661059028,0.9858619661059028,0.9930659506543833,0.9880363615723975,0.9858619661059028,0.9902014326644704,0.9935930765473235,0.9894899623414225,0.9902554991723299,0.9894899623414225,0.9894994614020589,0.9928022774702104,0.9928860517342541,0.9877264682575306,0.9928923120331854,0.9937162900391534,0.9918975782910768,0.9927598685184935,0.987654727609232,0.9999999999999991
