,meas,buíoch,buíochas,buíochas,buíoch,buíochas,meas a bheith agat ar,go raibh maith agat,fiacha,oibleagáid,oibleagáid,i bhfiacha,faoi chomaoin,faoi chomaoin,tá mé faoi chomaoin,tá fiach orm,ag fiacha,fiacha atá le híoc,faoi oibleagáid,leithscéalach,leithscéilí,leithscéal,brón,tá brón orm,gabh leithscéal,gabh mo leithscéal,maith dom
meas,0.9999999999999994,0.995646716888297,0.993258186386426,0.993258186386426,0.995646716888297,0.993258186386426,0.9922192454232359,0.9820246921499357,0.9978009451174673,0.9928791421338035,0.9928791421338035,0.9917925708973359,0.9849377574484499,0.9849377574484499,0.992759508244331,0.9938948813277462,0.9922745694044371,0.994670526972304,0.9896293767996934,0.9802519721561321,0.9710454874759004,0.9797087320383788,0.9921397461477817,0.9940470450566954,0.989422715578673,0.9927219845396169,0.993072169595628
buíoch,0.995646716888297,1.0,0.9916377668203178,0.9916377668203178,1.0,0.9916377668203178,0.9893739238773237,0.9812851135034499,0.9958247186279334,0.9919471569440145,0.9919471569440145,0.9889669732575244,0.9837539274673899,0.9837539274673899,0.9916525202660064,0.9929130959894918,0.9905163073635518,0.9936017271955397,0.988342347085049,0.9791482460499872,0.9682413018883416,0.9780377853858097,0.9908015696112163,0.9929665262849845,0.9875465137668289,0.9912655977735397,0.9915172726384426
buíochas,0.993258186386426,0.9916377668203178,1.0000000000000002,1.0000000000000002,0.9916377668203178,1.0000000000000002,0.9863520439327339,0.9744927803458421,0.9927370197962908,0.9871768566254763,0.9871768566254763,0.9864088803807016,0.9788942371118764,0.9788942371118764,0.9862761145123609,0.9880055154469795,0.986858908486456,0.9890381404720195,0.9840169596165291,0.9747574609403775,0.9671512698120149,0.9748762824054796,0.9868654431010478,0.9883484527468895,0.9843383476656642,0.9875536968644381,0.9868927280911924
buíochas,0.993258186386426,0.9916377668203178,1.0000000000000002,1.0000000000000002,0.9916377668203178,1.0000000000000002,0.9863520439327339,0.9744927803458421,0.9927370197962908,0.9871768566254763,0.9871768566254763,0.9864088803807016,0.9788942371118764,0.9788942371118764,0.9862761145123609,0.9880055154469795,0.986858908486456,0.9890381404720195,0.9840169596165291,0.9747574609403775,0.9671512698120149,0.9748762824054796,0.9868654431010478,0.9883484527468895,0.9843383476656642,0.9875536968644381,0.9868927280911924
buíoch,0.995646716888297,1.0,0.9916377668203178,0.9916377668203178,1.0,0.9916377668203178,0.9893739238773237,0.9812851135034499,0.9958247186279334,0.9919471569440145,0.9919471569440145,0.9889669732575244,0.9837539274673899,0.9837539274673899,0.9916525202660064,0.9929130959894918,0.9905163073635518,0.9936017271955397,0.988342347085049,0.9791482460499872,0.9682413018883416,0.9780377853858097,0.9908015696112163,0.9929665262849845,0.9875465137668289,0.9912655977735397,0.9915172726384426
buíochas,0.993258186386426,0.9916377668203178,1.0000000000000002,1.0000000000000002,0.9916377668203178,1.0000000000000002,0.9863520439327339,0.9744927803458421,0.9927370197962908,0.9871768566254763,0.9871768566254763,0.9864088803807016,0.9788942371118764,0.9788942371118764,0.9862761145123609,0.9880055154469795,0.986858908486456,0.9890381404720195,0.9840169596165291,0.9747574609403775,0.9671512698120149,0.9748762824054796,0.9868654431010478,0.9883484527468895,0.9843383476656642,0.9875536968644381,0.9868927280911924
meas a bheith agat ar,0.9922192454232359,0.9893739238773237,0.9863520439327339,0.9863520439327339,0.9893739238773237,0.9863520439327339,0.9999999999999991,0.984929339334333,0.9920187269098044,0.988440736223983,0.988440736223983,0.9915489025356922,0.986821365361153,0.986821365361153,0.9927679221558786,0.9918310881751808,0.9920545056854401,0.9930984983189486,0.9907432445392405,0.9841783613902417,0.9723568024506642,0.9793332221794019,0.9861969956692942,0.9915126029800084,0.9906670846316182,0.9924361073565996,0.9917650064491259
go raibh maith agat,0.9820246921499357,0.9812851135034499,0.9744927803458421,0.9744927803458421,0.9812851135034499,0.9744927803458421,0.984929339334333,0.9999999999999996,0.9817191563269577,0.9779724960981512,0.9779724960981512,0.9806434025257809,0.9801135171443983,0.9801135171443983,0.9845057935833353,0.9798267030448436,0.9825764355596915,0.9853139441812517,0.9815514946666936,0.9781372996056579,0.9661445035852526,0.9717442411297709,0.9752148144063038,0.9813917892714309,0.9817903802920327,0.9822223863245738,0.9891031117084537
fiacha,0.9978009451174673,0.9958247186279334,0.9927370197962908,0.9927370197962908,0.9958247186279334,0.9927370197962908,0.9920187269098044,0.9817191563269577,0.999999999999999,0.9927283137431988,0.9927283137431988,0.9931756266201582,0.9871850629553662,0.9871850629553662,0.9941418470363073,0.9957989671875491,0.9944549266666542,0.9959219708849506,0.9916886758767653,0.9830756531173618,0.9726207130750527,0.9815656127956097,0.9923011759375214,0.9948319444188586,0.9911953392061844,0.9941729890226793,0.9937856928382829
oibleagáid,0.9928791421338035,0.9919471569440145,0.9871768566254763,0.9871768566254763,0.9919471569440145,0.9871768566254763,0.988440736223983,0.9779724960981512,0.9927283137431988,0.9999999999999996,0.9999999999999996,0.9882483811152056,0.9830008307807024,0.9830008307807024,0.9904761861167354,0.9917544055169021,0.9886766080215541,0.9907384679695843,0.990047791223251,0.9784650082930648,0.9706709085768307,0.9790367017595124,0.9888992777590301,0.9931608007602337,0.9879850316817815,0.9908487501711598,0.9880754426075613
oibleagáid,0.9928791421338035,0.9919471569440145,0.9871768566254763,0.9871768566254763,0.9919471569440145,0.9871768566254763,0.988440736223983,0.9779724960981512,0.9927283137431988,0.9999999999999996,0.9999999999999996,0.9882483811152056,0.9830008307807024,0.9830008307807024,0.9904761861167354,0.9917544055169021,0.9886766080215541,0.9907384679695843,0.990047791223251,0.9784650082930648,0.9706709085768307,0.9790367017595124,0.9888992777590301,0.9931608007602337,0.9879850316817815,0.9908487501711598,0.9880754426075613
i bhfiacha,0.9917925708973359,0.9889669732575244,0.9864088803807016,0.9864088803807016,0.9889669732575244,0.9864088803807016,0.9915489025356922,0.9806434025257809,0.9931756266201582,0.9882483811152056,0.9882483811152056,0.9999999999999993,0.9901478561094423,0.9901478561094423,0.9931876458955874,0.9911092984394394,0.9941728638730338,0.993137260553091,0.9941679875379493,0.9861637207214407,0.9761993720232888,0.9832068396089682,0.9877245547281067,0.9901797358328046,0.9925486345268649,0.9939537687123136,0.9913364119948279
faoi chomaoin,0.9849377574484499,0.9837539274673899,0.9788942371118764,0.9788942371118764,0.9837539274673899,0.9788942371118764,0.986821365361153,0.9801135171443983,0.9871850629553662,0.9830008307807024,0.9830008307807024,0.9901478561094423,0.9999999999999998,0.9999999999999998,0.9926614837472689,0.984992946543834,0.9932693873452872,0.9884150088622891,0.995639813003865,0.9901192297544129,0.9785987704739131,0.9843971737616455,0.9793044210363245,0.9839566472075448,0.9900320072715335,0.9902724099543144,0.9874962992813441
faoi chomaoin,0.9849377574484499,0.9837539274673899,0.9788942371118764,0.9788942371118764,0.9837539274673899,0.9788942371118764,0.986821365361153,0.9801135171443983,0.9871850629553662,0.9830008307807024,0.9830008307807024,0.9901478561094423,0.9999999999999998,0.9999999999999998,0.9926614837472689,0.984992946543834,0.9932693873452872,0.9884150088622891,0.995639813003865,0.9901192297544129,0.9785987704739131,0.9843971737616455,0.9793044210363245,0.9839566472075448,0.9900320072715335,0.9902724099543144,0.9874962992813441
tá mé faoi chomaoin,0.992759508244331,0.9916525202660064,0.9862761145123609,0.9862761145123609,0.9916525202660064,0.9862761145123609,0.9927679221558786,0.9845057935833353,0.9941418470363073,0.9904761861167354,0.9904761861167354,0.9931876458955874,0.9926614837472689,0.9926614837472689,1.0,0.9934747153518468,0.9945539344125762,0.9953650519726678,0.9951394232597526,0.9883160996896716,0.9765692287417727,0.9844612711602942,0.9875435723304593,0.99308897022596,0.9940037905787229,0.9964096900421092,0.9930802817607286
tá fiach orm,0.9938948813277462,0.9929130959894918,0.9880055154469795,0.9880055154469795,0.9929130959894918,0.9880055154469795,0.9918310881751808,0.9798267030448436,0.9957989671875491,0.9917544055169021,0.9917544055169021,0.9911092984394394,0.984992946543834,0.984992946543834,0.9934747153518468,0.9999999999999998,0.9923085439490129,0.9936467004853893,0.9907565924924036,0.9805309307658138,0.9684645382814161,0.9782235398177475,0.9898663642781442,0.9974933607457177,0.9898702233160276,0.9930817033771723,0.9914362063031922
ag fiacha,0.9922745694044371,0.9905163073635518,0.986858908486456,0.986858908486456,0.9905163073635518,0.986858908486456,0.9920545056854401,0.9825764355596915,0.9944549266666542,0.9886766080215541,0.9886766080215541,0.9941728638730338,0.9932693873452872,0.9932693873452872,0.9945539344125762,0.9923085439490129,0.9999999999999999,0.994824855628974,0.9953005006673719,0.9890127283096272,0.9753750727673565,0.983319395981218,0.9865947544131107,0.9901325958026903,0.9926456521350467,0.9944439465165643,0.9925040284689965
fiacha atá le híoc,0.994670526972304,0.9936017271955397,0.9890381404720195,0.9890381404720195,0.9936017271955397,0.9890381404720195,0.9930984983189486,0.9853139441812517,0.9959219708849506,0.9907384679695843,0.9907384679695843,0.993137260553091,0.9884150088622891,0.9884150088622891,0.9953650519726678,0.9936467004853893,0.994824855628974,1.0000000000000002,0.9925015399145615,0.9867285735406944,0.975281225667507,0.9825924228197525,0.9888544046589899,0.9932354216179441,0.9929045018484958,0.9951636960838586,0.9950706122219917
faoi oibleagáid,0.9896293767996934,0.988342347085049,0.9840169596165291,0.9840169596165291,0.988342347085049,0.9840169596165291,0.9907432445392405,0.9815514946666936,0.9916886758767653,0.990047791223251,0.990047791223251,0.9941679875379493,0.995639813003865,0.995639813003865,0.9951394232597526,0.9907565924924036,0.9953005006673719,0.9925015399145615,0.9999999999999996,0.9903574580041664,0.9792774400580121,0.9857687395479591,0.9853918834062023,0.9896709067377285,0.9938919258304172,0.9946377529955078,0.9909241042777459
leithscéalach,0.9802519721561321,0.9791482460499872,0.9747574609403775,0.9747574609403775,0.9791482460499872,0.9747574609403775,0.9841783613902417,0.9781372996056579,0.9830756531173618,0.9784650082930648,0.9784650082930648,0.9861637207214407,0.9901192297544129,0.9901192297544129,0.9883160996896716,0.9805309307658138,0.9890127283096272,0.9867285735406944,0.9903574580041664,0.9999999999999992,0.98710416586969,0.9913263547002252,0.9754028037946794,0.9792717283650291,0.9927670438152031,0.9909920615063992,0.9861054728209179
leithscéilí,0.9710454874759004,0.9682413018883416,0.9671512698120149,0.9671512698120149,0.9682413018883416,0.9671512698120149,0.9723568024506642,0.9661445035852526,0.9726207130750527,0.9706709085768307,0.9706709085768307,0.9761993720232888,0.9785987704739131,0.9785987704739131,0.9765692287417727,0.9684645382814161,0.9753750727673565,0.975281225667507,0.9792774400580121,0.98710416586969,1.0000000000000002,0.9945428202863298,0.9652912386041412,0.9677269708369078,0.9856420788607723,0.9817323819860025,0.9754177844676668
leithscéal,0.9797087320383788,0.9780377853858097,0.9748762824054796,0.9748762824054796,0.9780377853858097,0.9748762824054796,0.9793332221794019,0.9717442411297709,0.9815656127956097,0.9790367017595124,0.9790367017595124,0.9832068396089682,0.9843971737616455,0.9843971737616455,0.9844612711602942,0.9782235398177475,0.983319395981218,0.9825924228197525,0.9857687395479591,0.9913263547002252,0.9945428202863298,0.9999999999999996,0.9757437321345659,0.9774314646909994,0.9914852243797778,0.9892252039097515,0.9814784067558873
brón,0.9921397461477817,0.9908015696112163,0.9868654431010478,0.9868654431010478,0.9908015696112163,0.9868654431010478,0.9861969956692942,0.9752148144063038,0.9923011759375214,0.9888992777590301,0.9888992777590301,0.9877245547281067,0.9793044210363245,0.9793044210363245,0.9875435723304593,0.9898663642781442,0.9865947544131107,0.9888544046589899,0.9853918834062023,0.9754028037946794,0.9652912386041412,0.9757437321345659,0.9999999999999998,0.9911699291231644,0.9840673515024215,0.9877213217253995,0.9860769182741763
tá brón orm,0.9940470450566954,0.9929665262849845,0.9883484527468895,0.9883484527468895,0.9929665262849845,0.9883484527468895,0.9915126029800084,0.9813917892714309,0.9948319444188586,0.9931608007602337,0.9931608007602337,0.9901797358328046,0.9839566472075448,0.9839566472075448,0.99308897022596,0.9974933607457177,0.9901325958026903,0.9932354216179441,0.9896709067377285,0.9792717283650291,0.9677269708369078,0.9774314646909994,0.9911699291231644,0.9999999999999992,0.9891115935179027,0.9923684812050009,0.991284517603832
gabh leithscéal,0.989422715578673,0.9875465137668289,0.9843383476656642,0.9843383476656642,0.9875465137668289,0.9843383476656642,0.9906670846316182,0.9817903802920327,0.9911953392061844,0.9879850316817815,0.9879850316817815,0.9925486345268649,0.9900320072715335,0.9900320072715335,0.9940037905787229,0.9898702233160276,0.9926456521350467,0.9929045018484958,0.9938919258304172,0.9927670438152031,0.9856420788607723,0.9914852243797778,0.9840673515024215,0.9891115935179027,1.0000000000000002,0.9988621770082956,0.9923620496603162
gabh mo leithscéal,0.9927219845396169,0.9912655977735397,0.9875536968644381,0.9875536968644381,0.9912655977735397,0.9875536968644381,0.9924361073565996,0.9822223863245738,0.9941729890226793,0.9908487501711598,0.9908487501711598,0.9939537687123136,0.9902724099543144,0.9902724099543144,0.9964096900421092,0.9930817033771723,0.9944439465165643,0.9951636960838586,0.9946377529955078,0.9909920615063992,0.9817323819860025,0.9892252039097515,0.9877213217253995,0.9923684812050009,0.9988621770082956,0.9999999999999992,0.9935538439593842
maith dom,0.993072169595628,0.9915172726384426,0.9868927280911924,0.9868927280911924,0.9915172726384426,0.9868927280911924,0.9917650064491259,0.9891031117084537,0.9937856928382829,0.9880754426075613,0.9880754426075613,0.9913364119948279,0.9874962992813441,0.9874962992813441,0.9930802817607286,0.9914362063031922,0.9925040284689965,0.9950706122219917,0.9909241042777459,0.9861054728209179,0.9754177844676668,0.9814784067558873,0.9860769182741763,0.991284517603832,0.9923620496603162,0.9935538439593842,0.9999999999999999
