,apprezzare,apprezzamento,gratitudine,ringraziare,grato,obbligato,impegno,dovere,dovendo,senso di obbligo,scusante,scuse,scusarsi,scusa,scusami,perdonami,dispiacere,scusa,mi perdoni,mi scusi
apprezzare,0.9999999999999993,0.9960835227171035,0.992616077563085,0.9948468949614787,0.9939097163797029,0.991863571406611,0.9847109277453999,0.9896224767987774,0.9924851538324401,0.9933611222711195,0.9938484028910242,0.9946878141774469,0.9936908792359526,0.9926750229884325,0.9934367284826355,0.9939115224200649,0.9922675698329101,0.9926750229884325,0.9920066189198048,0.9925706192736661
apprezzamento,0.9960835227171035,0.9999999999999998,0.991591462350775,0.9935256663885315,0.9939531949185029,0.9924693947758714,0.9875961354251437,0.9896361571718214,0.9937603944541137,0.9938736815903089,0.994035420419357,0.9941430919757221,0.9944271582541183,0.9931313438922408,0.9933705023275569,0.9944794537831025,0.9920681740882917,0.9931313438922408,0.9933045925696555,0.9928083652559673
gratitudine,0.992616077563085,0.991591462350775,0.9999999999999998,0.9939314604411205,0.9920532229277008,0.9904185848410733,0.9827460412496347,0.9894475987377257,0.9904303646803949,0.9923499889692813,0.9918464785187603,0.9930020593808796,0.9917958231530352,0.9920397823932391,0.9923914822303577,0.9930197838250903,0.991415953856205,0.9920397823932391,0.9901704885808706,0.99013617291915
ringraziare,0.9948468949614787,0.9935256663885315,0.9939314604411205,0.9999999999999993,0.9933961788455044,0.992752261149503,0.9835624255219433,0.9903136811186897,0.9916922773559202,0.9934889706174423,0.99383479700364,0.9957986435937847,0.9936588792008871,0.9941738725156462,0.9943973801483961,0.9935782525400675,0.9930261650126669,0.9941738725156462,0.9912517519731806,0.9915476272768927
grato,0.9939097163797029,0.9939531949185029,0.9920532229277008,0.9933961788455044,0.9999999999999986,0.9954231676280341,0.9889910425774036,0.9906638591851219,0.9945068224062344,0.9948706979410447,0.9963509992274794,0.9953530731947449,0.9956226121172234,0.9952159443735744,0.9951527332828785,0.9943594100146246,0.9935941730510702,0.9952159443735744,0.9938486122377044,0.9950061158787268
obbligato,0.991863571406611,0.9924693947758714,0.9904185848410733,0.992752261149503,0.9954231676280341,1.0,0.9858103799867927,0.9898735692410324,0.9916657251194212,0.9938029420436174,0.9944213531876477,0.9937271170354105,0.9941852092482014,0.9940951495232233,0.9946795853253919,0.9936606621360092,0.9937787005495082,0.9940951495232233,0.9908405853828818,0.9917798440154807
impegno,0.9847109277453999,0.9875961354251437,0.9827460412496347,0.9835624255219433,0.9889910425774036,0.9858103799867927,0.9999999999999992,0.9817232670310265,0.9878524073180649,0.9865600256190251,0.9867119343532438,0.9863141612965985,0.988977020716917,0.9857473540493615,0.9870974047936828,0.985985650154217,0.9831644260566516,0.9857473540493615,0.9864060131724296,0.986167456914797
dovere,0.9896224767987774,0.9896361571718214,0.9894475987377257,0.9903136811186897,0.9906638591851219,0.9898735692410324,0.9817232670310265,1.0,0.9895092550136022,0.9900380221940333,0.9915243832254101,0.9917742037650866,0.9920412387100256,0.990988380164355,0.992660198398682,0.9902717420015871,0.9907836742097811,0.990988380164355,0.9874451659115601,0.9880491751629598
dovendo,0.9924851538324401,0.9937603944541137,0.9904303646803949,0.9916922773559202,0.9945068224062344,0.9916657251194212,0.9878524073180649,0.9895092550136022,0.9999999999999993,0.9950036237102201,0.9956490097657232,0.9925228397998629,0.9945963877540072,0.9921282149582455,0.993409718750252,0.9945335590566847,0.9922156968275854,0.9921282149582442,0.9948762678465636,0.995099970871876
senso di obbligo,0.9933611222711195,0.9938736815903089,0.9923499889692813,0.9934889706174423,0.9948706979410447,0.9938029420436174,0.9865600256190251,0.9900380221940333,0.9950036237102201,0.9999999999999992,0.9961659632469497,0.9934594977983789,0.9947685920807089,0.9935348357394644,0.993783659640398,0.9944741865544872,0.9940270240773604,0.993534835739465,0.9945333425602161,0.994296038477564
scusante,0.9938484028910242,0.994035420419357,0.9918464785187603,0.99383479700364,0.9963509992274794,0.9944213531876477,0.9867119343532438,0.9915243832254101,0.9956490097657232,0.9961659632469497,0.9999999999999994,0.9950998650097518,0.9958099236316686,0.994716058086623,0.9953336788304352,0.994496241309619,0.9948621639164971,0.9947160580866231,0.9947779878445804,0.9957964709036585
scuse,0.9946878141774469,0.9941430919757221,0.9930020593808796,0.9957986435937847,0.9953530731947449,0.9937271170354105,0.9863141612965985,0.9917742037650866,0.9925228397998629,0.9934594977983789,0.9950998650097518,0.9999999999999996,0.9960570706292808,0.9975942774893084,0.9969311642796513,0.9936252230489574,0.9942559296088939,0.9975942774893074,0.9908641924355666,0.9932017168985168
scusarsi,0.9936908792359526,0.9944271582541183,0.9917958231530352,0.9936588792008871,0.9956226121172234,0.9941852092482014,0.988977020716917,0.9920412387100256,0.9945963877540072,0.9947685920807089,0.9958099236316686,0.9960570706292808,0.9999999999999996,0.9961504471957817,0.9976457868415775,0.9947384680855771,0.9941899888090427,0.9961504471957825,0.9923133172969762,0.9947118917038389
scusa,0.9926750229884325,0.9931313438922408,0.9920397823932391,0.9941738725156462,0.9952159443735744,0.9940951495232233,0.9857473540493615,0.990988380164355,0.9921282149582455,0.9935348357394644,0.994716058086623,0.9975942774893084,0.9961504471957817,1.0,0.9974868225807996,0.9931889937838002,0.9949482486846865,1.0000000000000002,0.9906509710435486,0.992651873618323
scusami,0.9934367284826355,0.9933705023275569,0.9923914822303577,0.9943973801483961,0.9951527332828785,0.9946795853253919,0.9870974047936828,0.992660198398682,0.993409718750252,0.993783659640398,0.9953336788304352,0.9969311642796513,0.9976457868415775,0.9974868225807996,0.9999999999999999,0.9956674194383903,0.9949534823766468,0.9974868225807993,0.9914366820123245,0.9934467113718833
perdonami,0.9939115224200649,0.9944794537831025,0.9930197838250903,0.9935782525400675,0.9943594100146246,0.9936606621360092,0.985985650154217,0.9902717420015871,0.9945335590566847,0.9944741865544872,0.994496241309619,0.9936252230489574,0.9947384680855771,0.9931889937838002,0.9956674194383903,0.9999999999999999,0.9943039913465088,0.9931889937837999,0.9949680468618399,0.993498810249586
dispiacere,0.9922675698329101,0.9920681740882917,0.991415953856205,0.9930261650126669,0.9935941730510702,0.9937787005495082,0.9831644260566516,0.9907836742097811,0.9922156968275854,0.9940270240773604,0.9948621639164971,0.9942559296088939,0.9941899888090427,0.9949482486846865,0.9949534823766468,0.9943039913465088,1.0,0.9949482486846859,0.9914682135724279,0.9915594687512725
scusa,0.9926750229884325,0.9931313438922408,0.9920397823932391,0.9941738725156462,0.9952159443735744,0.9940951495232233,0.9857473540493615,0.990988380164355,0.9921282149582442,0.993534835739465,0.9947160580866231,0.9975942774893074,0.9961504471957825,1.0000000000000002,0.9974868225807993,0.9931889937837999,0.9949482486846859,1.0,0.9906509710435483,0.9926518736183231
mi perdoni,0.9920066189198048,0.9933045925696555,0.9901704885808706,0.9912517519731806,0.9938486122377044,0.9908405853828818,0.9864060131724296,0.9874451659115601,0.9948762678465636,0.9945333425602161,0.9947779878445804,0.9908641924355666,0.9923133172969762,0.9906509710435486,0.9914366820123245,0.9949680468618399,0.9914682135724279,0.9906509710435483,0.9999999999999996,0.9957246964416712
mi scusi,0.9925706192736661,0.9928083652559673,0.99013617291915,0.9915476272768927,0.9950061158787268,0.9917798440154807,0.986167456914797,0.9880491751629598,0.995099970871876,0.994296038477564,0.9957964709036585,0.9932017168985168,0.9947118917038389,0.992651873618323,0.9934467113718833,0.993498810249586,0.9915594687512725,0.9926518736183231,0.9957246964416712,0.9999999999999999
