,tlamatcayotia,tlamatcayoliztli,tlazohcamatini,tlazohcotl,tlazohcotl,tlazohcamati,tlazohcamatini,tlazohcotl,tlatlacualtia,tlatlacualtiliztli,tlamelahuiztli,tlamelahuia,tlamelahuiztli,tlatlacualtia,tlatlacualtili,tlapaloliztica,tlapaloliztli,tlapaloa,tlapaloliztli,tlapalohuiliztli,ma xinechtlapaloa,ma xinechtlapaloa,ma xinechtlazotla
tlamatcayotia,0.9999999999999991,0.9965279294832083,0.9975053718184125,0.9961812153442289,0.9961812153442289,0.9980302835651912,0.9975053718184125,0.9961812153442289,0.9972485074288453,0.9942435752158783,0.9951144330828169,0.995536457935327,0.9951144330828169,0.9972485074288453,0.9954036153143443,0.9970731280900385,0.9944212355534341,0.9942941279348309,0.9944212355534341,0.9938062826322795,0.9948610707156859,0.9948610707156859,0.9935689025759431
tlamatcayoliztli,0.9965279294832083,0.9999999999999998,0.9976057220006536,0.9978332274273258,0.9978332274273258,0.9976433290348686,0.9976057220006536,0.9978332274273258,0.9970819027683783,0.9983249788942681,0.9991279949904635,0.995561927584033,0.9991279949904635,0.9970819027683783,0.997223308207713,0.9971740867321544,0.9988377900149115,0.9955765286546435,0.9988377900149115,0.9971967589188448,0.9931966364488214,0.9931966364488214,0.9934188274978996
tlazohcamatini,0.9975053718184125,0.9976057220006536,0.9999999999999998,0.9976069154143041,0.9976069154143041,0.9986995895252798,0.9999999999999998,0.9976069154143041,0.9974068253971253,0.996448259604316,0.9971437630723622,0.9953854363964927,0.9971437630723622,0.9974068253971253,0.9974769875381607,0.997260088557719,0.9961510926392437,0.995861195371839,0.9961510926392437,0.9961881066872246,0.9936121687590491,0.9936121687590491,0.9937179036419321
tlazohcotl,0.9961812153442289,0.9978332274273258,0.9976069154143041,0.9999999999999998,0.9999999999999998,0.9980164441610171,0.9976069154143041,0.9999999999999998,0.9979060980938144,0.9976596222313855,0.9972681015097359,0.9950292826825432,0.9972681015097359,0.9979060980938144,0.9967575000735759,0.9978254689183058,0.9966973010125312,0.9962744690265452,0.9966973010125312,0.9965183865562159,0.9925268038512394,0.9925268038512394,0.9927780446818517
tlazohcotl,0.9961812153442289,0.9978332274273258,0.9976069154143041,0.9999999999999998,0.9999999999999998,0.9980164441610171,0.9976069154143041,0.9999999999999998,0.9979060980938144,0.9976596222313855,0.9972681015097359,0.9950292826825432,0.9972681015097359,0.9979060980938144,0.9967575000735759,0.9978254689183058,0.9966973010125312,0.9962744690265452,0.9966973010125312,0.9965183865562159,0.9925268038512394,0.9925268038512394,0.9927780446818517
tlazohcamati,0.9980302835651912,0.9976433290348686,0.9986995895252798,0.9980164441610171,0.9980164441610171,0.9999999999999993,0.9986995895252798,0.9980164441610171,0.997692993356303,0.9963392172144289,0.9965036210160896,0.9961006484710702,0.9965036210160896,0.997692993356303,0.9959843772285213,0.9975484735433724,0.9959172045306077,0.9959706927966978,0.9959172045306077,0.9960465161982951,0.9940269501753514,0.9940269501753514,0.9935261873978593
tlazohcamatini,0.9975053718184125,0.9976057220006536,0.9999999999999998,0.9976069154143041,0.9976069154143041,0.9986995895252798,0.9999999999999998,0.9976069154143041,0.9974068253971253,0.996448259604316,0.9971437630723622,0.9953854363964927,0.9971437630723622,0.9974068253971253,0.9974769875381607,0.997260088557719,0.9961510926392437,0.995861195371839,0.9961510926392437,0.9961881066872246,0.9936121687590491,0.9936121687590491,0.9937179036419321
tlazohcotl,0.9961812153442289,0.9978332274273258,0.9976069154143041,0.9999999999999998,0.9999999999999998,0.9980164441610171,0.9976069154143041,0.9999999999999998,0.9979060980938144,0.9976596222313855,0.9972681015097359,0.9950292826825432,0.9972681015097359,0.9979060980938144,0.9967575000735759,0.9978254689183058,0.9966973010125312,0.9962744690265452,0.9966973010125312,0.9965183865562159,0.9925268038512394,0.9925268038512394,0.9927780446818517
tlatlacualtia,0.9972485074288453,0.9970819027683783,0.9974068253971253,0.9979060980938144,0.9979060980938144,0.997692993356303,0.9974068253971253,0.9979060980938144,0.9999999999999993,0.9973028621857697,0.9964045416256517,0.9953659849379721,0.9964045416256517,0.9999999999999993,0.9971898037401601,0.9985118015410568,0.9954116001997777,0.9966565997097545,0.9954116001997777,0.996416843671574,0.9927597241304243,0.9927597241304243,0.9922180659508921
tlatlacualtiliztli,0.9942435752158783,0.9983249788942681,0.996448259604316,0.9976596222313855,0.9976596222313855,0.9963392172144289,0.996448259604316,0.9976596222313855,0.9973028621857697,0.9999999999999993,0.9982492483355901,0.9930620970040271,0.9982492483355901,0.9973028621857697,0.9970152616123567,0.9972114985748796,0.9972586707721636,0.9954360735700664,0.9972586707721636,0.9973419950758959,0.9899071640684767,0.9899071640684767,0.990118756938941
tlamelahuiztli,0.9951144330828169,0.9991279949904635,0.9971437630723622,0.9972681015097359,0.9972681015097359,0.9965036210160896,0.9971437630723622,0.9972681015097359,0.9964045416256517,0.9982492483355901,0.9999999999999998,0.9954737422486365,0.9999999999999998,0.9964045416256517,0.9974242632258961,0.996674418280244,0.9988058265031181,0.9958038109765347,0.9988058265031181,0.9974599674303727,0.9918611043648938,0.9918611043648938,0.9927182386566876
tlamelahuia,0.995536457935327,0.995561927584033,0.9953854363964927,0.9950292826825432,0.9950292826825432,0.9961006484710702,0.9953854363964927,0.9950292826825432,0.9953659849379721,0.9930620970040271,0.9954737422486365,0.9999999999999993,0.9954737422486365,0.9953659849379721,0.9937050041165156,0.9951636999637621,0.9948112961042282,0.996000545276547,0.9948112961042282,0.9948369629229571,0.9916682723945366,0.9916682723945366,0.9919364219900091
tlamelahuiztli,0.9951144330828169,0.9991279949904635,0.9971437630723622,0.9972681015097359,0.9972681015097359,0.9965036210160896,0.9971437630723622,0.9972681015097359,0.9964045416256517,0.9982492483355901,0.9999999999999998,0.9954737422486365,0.9999999999999998,0.9964045416256517,0.9974242632258961,0.996674418280244,0.9988058265031181,0.9958038109765347,0.9988058265031181,0.9974599674303727,0.9918611043648938,0.9918611043648938,0.9927182386566876
tlatlacualtia,0.9972485074288453,0.9970819027683783,0.9974068253971253,0.9979060980938144,0.9979060980938144,0.997692993356303,0.9974068253971253,0.9979060980938144,0.9999999999999993,0.9973028621857697,0.9964045416256517,0.9953659849379721,0.9964045416256517,0.9999999999999993,0.9971898037401601,0.9985118015410568,0.9954116001997777,0.9966565997097545,0.9954116001997777,0.996416843671574,0.9927597241304243,0.9927597241304243,0.9922180659508921
tlatlacualtili,0.9954036153143443,0.997223308207713,0.9974769875381607,0.9967575000735759,0.9967575000735759,0.9959843772285213,0.9974769875381607,0.9967575000735759,0.9971898037401601,0.9970152616123567,0.9974242632258961,0.9937050041165156,0.9974242632258961,0.9971898037401601,0.9999999999999988,0.9968859781576364,0.9961329685232143,0.9954876888417933,0.9961329685232143,0.9962534568838673,0.9913168669321155,0.9913168669321155,0.9919630009979049
tlapaloliztica,0.9970731280900385,0.9971740867321544,0.997260088557719,0.9978254689183058,0.9978254689183058,0.9975484735433724,0.997260088557719,0.9978254689183058,0.9985118015410568,0.9972114985748796,0.996674418280244,0.9951636999637621,0.996674418280244,0.9985118015410568,0.9968859781576364,0.9999999999999992,0.995722076049724,0.9961755295532827,0.995722076049724,0.9960390151940558,0.9924197310424382,0.9924197310424382,0.9919968621091151
tlapaloliztli,0.9944212355534341,0.9988377900149115,0.9961510926392437,0.9966973010125312,0.9966973010125312,0.9959172045306077,0.9961510926392437,0.9966973010125312,0.9954116001997777,0.9972586707721636,0.9988058265031181,0.9948112961042282,0.9988058265031181,0.9954116001997777,0.9961329685232143,0.995722076049724,0.9999999999999998,0.9947323103071801,0.9999999999999998,0.995980426433639,0.9920519789405287,0.9920519789405287,0.9930867803211985
tlapaloa,0.9942941279348309,0.9955765286546435,0.995861195371839,0.9962744690265452,0.9962744690265452,0.9959706927966978,0.995861195371839,0.9962744690265452,0.9966565997097545,0.9954360735700664,0.9958038109765347,0.996000545276547,0.9958038109765347,0.9966565997097545,0.9954876888417933,0.9961755295532827,0.9947323103071801,0.9999999999999999,0.9947323103071801,0.9964500267349398,0.9894793740414934,0.9894793740414934,0.9897037919785717
tlapaloliztli,0.9944212355534341,0.9988377900149115,0.9961510926392437,0.9966973010125312,0.9966973010125312,0.9959172045306077,0.9961510926392437,0.9966973010125312,0.9954116001997777,0.9972586707721636,0.9988058265031181,0.9948112961042282,0.9988058265031181,0.9954116001997777,0.9961329685232143,0.995722076049724,0.9999999999999998,0.9947323103071801,0.9999999999999998,0.995980426433639,0.9920519789405287,0.9920519789405287,0.9930867803211985
tlapalohuiliztli,0.9938062826322795,0.9971967589188448,0.9961881066872246,0.9965183865562159,0.9965183865562159,0.9960465161982951,0.9961881066872246,0.9965183865562159,0.996416843671574,0.9973419950758959,0.9974599674303727,0.9948369629229571,0.9974599674303727,0.996416843671574,0.9962534568838673,0.9960390151940558,0.995980426433639,0.9964500267349398,0.995980426433639,0.9999999999999998,0.9898988940662996,0.9898988940662996,0.9902379648246039
ma xinechtlapaloa,0.9948610707156859,0.9931966364488214,0.9936121687590491,0.9925268038512394,0.9925268038512394,0.9940269501753514,0.9936121687590491,0.9925268038512394,0.9927597241304243,0.9899071640684767,0.9918611043648938,0.9916682723945366,0.9918611043648938,0.9927597241304243,0.9913168669321155,0.9924197310424382,0.9920519789405287,0.9894793740414934,0.9920519789405287,0.9898988940662996,1.0,1.0,0.9981013097893736
ma xinechtlapaloa,0.9948610707156859,0.9931966364488214,0.9936121687590491,0.9925268038512394,0.9925268038512394,0.9940269501753514,0.9936121687590491,0.9925268038512394,0.9927597241304243,0.9899071640684767,0.9918611043648938,0.9916682723945366,0.9918611043648938,0.9927597241304243,0.9913168669321155,0.9924197310424382,0.9920519789405287,0.9894793740414934,0.9920519789405287,0.9898988940662996,1.0,1.0,0.9981013097893736
ma xinechtlazotla,0.9935689025759431,0.9934188274978996,0.9937179036419321,0.9927780446818517,0.9927780446818517,0.9935261873978593,0.9937179036419321,0.9927780446818517,0.9922180659508921,0.990118756938941,0.9927182386566876,0.9919364219900091,0.9927182386566876,0.9922180659508921,0.9919630009979049,0.9919968621091151,0.9930867803211985,0.9897037919785717,0.9930867803211985,0.9902379648246039,0.9981013097893736,0.9981013097893736,0.9999999999999998
