,wäärtschaten,wäärtschatting,dankboar,dankbarkeid,dankbarkeid,danke,dankboar,dankbarkeid,sküldig,sküldigheit,förplichting,förplicht,förplichtet,förplichting,sküld haa,sküld haa,sküldig haa,försakiend,uursaken,försaki,uursaken,leed,förgiif,exküsüür mi,förgiif mi
wäärtschaten,0.9999999999999991,0.9900951656945652,0.9717225871855308,0.9742782338049323,0.9742782338049323,0.9730183429847744,0.9717225871855308,0.9742782338049323,0.9715944864673063,0.9730428962447787,0.976780577672288,0.9760690934282868,0.9718713225421106,0.976780577672288,0.9757510313634914,0.9757510313634914,0.9763148879173918,0.9726240379455108,0.9708343871655863,0.9726471336817878,0.9708343871655863,0.9758426630597425,0.9734370099495563,0.9709318499961055,0.9684337952602146
wäärtschatting,0.9900951656945652,0.9999999999999996,0.9741411037136317,0.9794143193342066,0.9794143193342066,0.9781605622192788,0.9741411037136317,0.9794143193342066,0.977630873773534,0.9782345288437665,0.9811665541568286,0.9805666576704006,0.9767163377618933,0.9811665541568286,0.9819703811336304,0.9819703811336304,0.9820903078098675,0.977698070384779,0.9751370712577005,0.9778432180309213,0.9751370712577005,0.9786305416649038,0.97963698295359,0.9759476289461759,0.9745067344758541
dankboar,0.9717225871855308,0.9741411037136317,0.9999999999999997,0.9817836528148481,0.9817836528148481,0.9821513812100812,0.9999999999999997,0.9817836528148481,0.9784351847790432,0.9765084336457844,0.9824565503922084,0.9820710303659441,0.9807437191748213,0.9824565503922084,0.9807897866888525,0.9807897866888525,0.9802649292383491,0.9810860651559719,0.979620609661996,0.9818727932777914,0.979620609661996,0.977197908116202,0.979168003732683,0.9791179670961353,0.9744463704609986
dankbarkeid,0.9742782338049323,0.9794143193342066,0.9817836528148481,0.9999999999999999,0.9999999999999999,0.9953085863728754,0.9817836528148481,0.9999999999999999,0.9930757547388899,0.9893399079086894,0.9937985808434792,0.9945270351356934,0.9945159049335459,0.9937985808434792,0.9950929233389416,0.9950929233389416,0.9943787636497008,0.9943296324407677,0.9938001102527714,0.9956106643127297,0.9938001102527714,0.9939285803732141,0.9926807505072098,0.994057327062084,0.9882764601378606
dankbarkeid,0.9742782338049323,0.9794143193342066,0.9817836528148481,0.9999999999999999,0.9999999999999999,0.9953085863728754,0.9817836528148481,0.9999999999999999,0.9930757547388899,0.9893399079086894,0.9937985808434792,0.9945270351356934,0.9945159049335459,0.9937985808434792,0.9950929233389416,0.9950929233389416,0.9943787636497008,0.9943296324407677,0.9938001102527714,0.9956106643127297,0.9938001102527714,0.9939285803732141,0.9926807505072098,0.994057327062084,0.9882764601378606
danke,0.9730183429847744,0.9781605622192788,0.9821513812100812,0.9953085863728754,0.9953085863728754,1.0000000000000004,0.9821513812100812,0.9953085863728754,0.9944774724559693,0.9864583437877251,0.9937359630575856,0.995280535367669,0.9948470894026858,0.9937359630575856,0.9948334547153127,0.9948334547153127,0.9945180555524614,0.9942108602832223,0.9942323182856848,0.9957004520078742,0.9942323182856848,0.991146528579699,0.9929891541673609,0.995526830824876,0.9894801922666955
dankboar,0.9717225871855308,0.9741411037136317,0.9999999999999997,0.9817836528148481,0.9817836528148481,0.9821513812100812,0.9999999999999997,0.9817836528148481,0.9784351847790432,0.9765084336457844,0.9824565503922084,0.9820710303659441,0.9807437191748213,0.9824565503922084,0.9807897866888525,0.9807897866888525,0.9802649292383491,0.9810860651559719,0.979620609661996,0.9818727932777914,0.979620609661996,0.977197908116202,0.979168003732683,0.9791179670961353,0.9744463704609986
dankbarkeid,0.9742782338049323,0.9794143193342066,0.9817836528148481,0.9999999999999999,0.9999999999999999,0.9953085863728754,0.9817836528148481,0.9999999999999999,0.9930757547388899,0.9893399079086894,0.9937985808434792,0.9945270351356934,0.9945159049335459,0.9937985808434792,0.9950929233389416,0.9950929233389416,0.9943787636497008,0.9943296324407677,0.9938001102527714,0.9956106643127297,0.9938001102527714,0.9939285803732141,0.9926807505072098,0.994057327062084,0.9882764601378606
sküldig,0.9715944864673063,0.977630873773534,0.9784351847790432,0.9930757547388899,0.9930757547388899,0.9944774724559693,0.9784351847790432,0.9930757547388899,0.9999999999999998,0.9861196758260865,0.9932084133954312,0.9948728883235547,0.9945129884381188,0.9932084133954312,0.9936585757302354,0.9936585757302354,0.9950138908709263,0.9930915618823625,0.9921949356531024,0.9936657187523383,0.9921949356531024,0.989620396076479,0.9910528859385677,0.9934814825872349,0.9869800492226286
sküldigheit,0.9730428962447787,0.9782345288437665,0.9765084336457844,0.9893399079086894,0.9893399079086894,0.9864583437877251,0.9765084336457844,0.9893399079086894,0.9861196758260865,1.0000000000000002,0.987359179980523,0.9881006873440163,0.9846281198251564,0.987359179980523,0.9902674847748096,0.9902674847748096,0.9903812559480164,0.987044664649913,0.9852674267382734,0.9874327512925423,0.9852674267382734,0.9883204461078992,0.9862087872836405,0.9842194082197343,0.9802222606876968
förplichting,0.976780577672288,0.9811665541568286,0.9824565503922084,0.9937985808434792,0.9937985808434792,0.9937359630575856,0.9824565503922084,0.9937985808434792,0.9932084133954312,0.987359179980523,0.9999999999999993,0.9976351141641275,0.9953317981918439,0.9999999999999993,0.9923377119980706,0.9923377119980706,0.9930672059575792,0.9933818882345122,0.9920347674618607,0.9941509144411682,0.9920347674618607,0.9912315441004749,0.9922854583940847,0.9926417499109025,0.9874491127173936
förplicht,0.9760690934282868,0.9805666576704006,0.9820710303659441,0.9945270351356934,0.9945270351356934,0.995280535367669,0.9820710303659441,0.9945270351356934,0.9948728883235547,0.9881006873440163,0.9976351141641275,0.9999999999999994,0.997323460996641,0.9976351141641275,0.9940832592018454,0.9940832592018454,0.9943530288826601,0.9936690303107146,0.9932308765248845,0.9948982261104029,0.9932308765248845,0.9921607753904015,0.9935000033130698,0.9947623420292003,0.9899501699765443
förplichtet,0.9718713225421106,0.9767163377618933,0.9807437191748213,0.9945159049335459,0.9945159049335459,0.9948470894026858,0.9807437191748213,0.9945159049335459,0.9945129884381188,0.9846281198251564,0.9953317981918439,0.997323460996641,0.9999999999999991,0.9953317981918439,0.991995460688211,0.991995460688211,0.9917936899801355,0.9930257538976655,0.9937552455208731,0.9944352439424581,0.9937552455208731,0.9903163990267698,0.9925194383101378,0.9941095064188425,0.9897667457313106
förplichting,0.976780577672288,0.9811665541568286,0.9824565503922084,0.9937985808434792,0.9937985808434792,0.9937359630575856,0.9824565503922084,0.9937985808434792,0.9932084133954312,0.987359179980523,0.9999999999999993,0.9976351141641275,0.9953317981918439,0.9999999999999993,0.9923377119980706,0.9923377119980706,0.9930672059575792,0.9933818882345122,0.9920347674618607,0.9941509144411682,0.9920347674618607,0.9912315441004749,0.9922854583940847,0.9926417499109025,0.9874491127173936
sküld haa,0.9757510313634914,0.9819703811336304,0.9807897866888525,0.9950929233389416,0.9950929233389416,0.9948334547153127,0.9807897866888525,0.9950929233389416,0.9936585757302354,0.9902674847748096,0.9923377119980706,0.9940832592018454,0.991995460688211,0.9923377119980706,0.9999999999999997,0.9999999999999997,0.9981366702278378,0.9939473055528052,0.9925058851559563,0.9948759138915905,0.9925058851559563,0.992555400377366,0.992732399845315,0.993951014799914,0.9887047615914638
sküld haa,0.9757510313634914,0.9819703811336304,0.9807897866888525,0.9950929233389416,0.9950929233389416,0.9948334547153127,0.9807897866888525,0.9950929233389416,0.9936585757302354,0.9902674847748096,0.9923377119980706,0.9940832592018454,0.991995460688211,0.9923377119980706,0.9999999999999997,0.9999999999999997,0.9981366702278378,0.9939473055528052,0.9925058851559563,0.9948759138915905,0.9925058851559563,0.992555400377366,0.992732399845315,0.993951014799914,0.9887047615914638
sküldig haa,0.9763148879173918,0.9820903078098675,0.9802649292383491,0.9943787636497008,0.9943787636497008,0.9945180555524614,0.9802649292383491,0.9943787636497008,0.9950138908709263,0.9903812559480164,0.9930672059575792,0.9943530288826601,0.9917936899801355,0.9930672059575792,0.9981366702278378,0.9981366702278378,0.9999999999999997,0.9937527514309702,0.9921634734135124,0.9946091069342063,0.9921634734135124,0.9919304117306186,0.9918543195330466,0.9931182196722651,0.9866289298353079
försakiend,0.9726240379455108,0.977698070384779,0.9810860651559719,0.9943296324407677,0.9943296324407677,0.9942108602832223,0.9810860651559719,0.9943296324407677,0.9930915618823625,0.987044664649913,0.9933818882345122,0.9936690303107146,0.9930257538976655,0.9933818882345122,0.9939473055528052,0.9939473055528052,0.9937527514309702,0.9999999999999997,0.9930114010968402,0.9957042011237276,0.9930114010968402,0.9908804911459346,0.9927528161908277,0.992612151585646,0.9871630377863412
uursaken,0.9708343871655863,0.9751370712577005,0.979620609661996,0.9938001102527714,0.9938001102527714,0.9942323182856848,0.979620609661996,0.9938001102527714,0.9921949356531024,0.9852674267382734,0.9920347674618607,0.9932308765248845,0.9937552455208731,0.9920347674618607,0.9925058851559563,0.9925058851559563,0.9921634734135124,0.9930114010968402,0.999999999999999,0.996088913426416,0.999999999999999,0.990862319836836,0.9904924352691591,0.9927172553299198,0.9863315770867046
försaki,0.9726471336817878,0.9778432180309213,0.9818727932777914,0.9956106643127297,0.9956106643127297,0.9957004520078742,0.9818727932777914,0.9956106643127297,0.9936657187523383,0.9874327512925423,0.9941509144411682,0.9948982261104029,0.9944352439424581,0.9941509144411682,0.9948759138915905,0.9948759138915905,0.9946091069342063,0.9957042011237276,0.996088913426416,0.9999999999999994,0.996088913426416,0.9923000807821448,0.9937996011302753,0.9939030861405611,0.989032367240474
uursaken,0.9708343871655863,0.9751370712577005,0.979620609661996,0.9938001102527714,0.9938001102527714,0.9942323182856848,0.979620609661996,0.9938001102527714,0.9921949356531024,0.9852674267382734,0.9920347674618607,0.9932308765248845,0.9937552455208731,0.9920347674618607,0.9925058851559563,0.9925058851559563,0.9921634734135124,0.9930114010968402,0.999999999999999,0.996088913426416,0.999999999999999,0.990862319836836,0.9904924352691591,0.9927172553299198,0.9863315770867046
leed,0.9758426630597425,0.9786305416649038,0.977197908116202,0.9939285803732141,0.9939285803732141,0.991146528579699,0.977197908116202,0.9939285803732141,0.989620396076479,0.9883204461078992,0.9912315441004749,0.9921607753904015,0.9903163990267698,0.9912315441004749,0.992555400377366,0.992555400377366,0.9919304117306186,0.9908804911459346,0.990862319836836,0.9923000807821448,0.990862319836836,0.9999999999999999,0.9894341056969753,0.9907111221703442,0.9847543200310721
förgiif,0.9734370099495563,0.97963698295359,0.979168003732683,0.9926807505072098,0.9926807505072098,0.9929891541673609,0.979168003732683,0.9926807505072098,0.9910528859385677,0.9862087872836405,0.9922854583940847,0.9935000033130698,0.9925194383101378,0.9922854583940847,0.992732399845315,0.992732399845315,0.9918543195330466,0.9927528161908277,0.9904924352691591,0.9937996011302753,0.9904924352691591,0.9894341056969753,1.0000000000000002,0.9930040943828339,0.9955457892372397
exküsüür mi,0.9709318499961055,0.9759476289461759,0.9791179670961353,0.994057327062084,0.994057327062084,0.995526830824876,0.9791179670961353,0.994057327062084,0.9934814825872349,0.9842194082197343,0.9926417499109025,0.9947623420292003,0.9941095064188425,0.9926417499109025,0.993951014799914,0.993951014799914,0.9931182196722651,0.992612151585646,0.9927172553299198,0.9939030861405611,0.9927172553299198,0.9907111221703442,0.9930040943828339,1.0,0.9920452820090474
förgiif mi,0.9684337952602146,0.9745067344758541,0.9744463704609986,0.9882764601378606,0.9882764601378606,0.9894801922666955,0.9744463704609986,0.9882764601378606,0.9869800492226286,0.9802222606876968,0.9874491127173936,0.9899501699765443,0.9897667457313106,0.9874491127173936,0.9887047615914638,0.9887047615914638,0.9866289298353079,0.9871630377863412,0.9863315770867046,0.989032367240474,0.9863315770867046,0.9847543200310721,0.9955457892372397,0.9920452820090474,1.0000000000000002
