,арзондин,арзонд,фæлæвдарджин,фæлæвдаргонд,фæлæвдар,фæлæвдарын,фæлæвдарынгæн,фæлæвдаргонд,ӕрдхӕсын,ӕрдхӕстӕг,мидӕг,мидӕгдар,мидӕг,ӕрдхӕсын,ӕрдхӕсын,ӕрдӕны фӕн,ӕрдӕны фӕн,уарзондзинадгæн,уарзондзинадтæ,уарзондзинад,арæс,уарзондзинад,уарзондзинад æртæ,мæнæм уарзондзинад,æмæ уарзондзинад
арзондин,0.9999999999999998,0.9909976264607103,0.9896935338411025,0.9871248584108719,0.9879318815478106,0.9896751010374657,0.9862119759269267,0.9871248584108719,0.9865450177342193,0.9865450177342193,0.9865450177342193,0.9865450177342193,0.9865450177342193,0.9865450177342193,0.9865450177342193,0.9853122061770804,0.9853122061770804,0.9913208151969287,0.9925371519622828,0.9921349428390158,0.9921292803483898,0.9921349428390158,0.9879477953181188,0.9883787023109831,0.9875594496587252
арзонд,0.9909976264607103,0.9999999999999999,0.9950702124015292,0.9889803639005393,0.9921238891523199,0.9896934409531553,0.9873095512079427,0.9889803639005393,0.9882444892129632,0.9882444892129632,0.9882444892129632,0.9882444892129632,0.9882444892129632,0.9882444892129632,0.9882444892129632,0.9883420303591758,0.9883420303591758,0.9946534282348587,0.9949503134433965,0.9966841845579546,0.9953636651682958,0.9966841845579546,0.9922966210223476,0.9910542818516406,0.9904531861383854
фæлæвдарджин,0.9896935338411025,0.9950702124015292,0.9999999999999996,0.994656977909733,0.9962937299049285,0.9936077282612262,0.9930075754454745,0.994656977909733,0.9878916442801273,0.9878916442801273,0.9878916442801273,0.9878916442801273,0.9878916442801273,0.9878916442801273,0.9878916442801273,0.9888365031424079,0.9888365031424079,0.9960003783860258,0.9942089898886483,0.9937290119039124,0.9946813886213183,0.9937290119039124,0.9947763789531967,0.9936545454818931,0.9926120080373121
фæлæвдаргонд,0.9871248584108719,0.9889803639005393,0.994656977909733,0.9999999999999991,0.9945120165106273,0.9942506999514723,0.9958913637245397,0.9999999999999991,0.9841542684299636,0.9841542684299636,0.9841542684299636,0.9841542684299636,0.9841542684299636,0.9841542684299636,0.9841542684299636,0.9851671939917086,0.9851671939917086,0.9939767517557387,0.9906713899817743,0.9894039284199514,0.9909899819357884,0.9894039284199514,0.9932915714710255,0.9950475450213331,0.9931232616863167
фæлæвдар,0.9879318815478106,0.9921238891523199,0.9962937299049285,0.9945120165106273,0.9999999999999996,0.9946865701741858,0.991901923711376,0.9945120165106273,0.985091345980275,0.985091345980275,0.985091345980275,0.985091345980275,0.985091345980275,0.985091345980275,0.985091345980275,0.9855442007100929,0.9855442007100929,0.9933114615651281,0.9914222417728343,0.990810456901595,0.9931972514136101,0.990810456901595,0.9928389572637988,0.9919743623301819,0.9901752842254041
фæлæвдарын,0.9896751010374657,0.9896934409531553,0.9936077282612262,0.9942506999514723,0.9946865701741858,0.9999999999999992,0.9954557813440698,0.9942506999514723,0.9868705069434678,0.9868705069434678,0.9868705069434678,0.9868705069434678,0.9868705069434678,0.9868705069434678,0.9868705069434678,0.987731988463855,0.987731988463855,0.993840293644489,0.993236066710078,0.9898323341324816,0.99367966911079,0.9898323341324816,0.9937443838651815,0.9934758312589999,0.9921059985672435
фæлæвдарынгæн,0.9862119759269267,0.9873095512079427,0.9930075754454745,0.9958913637245397,0.991901923711376,0.9954557813440698,1.0000000000000002,0.9958913637245397,0.985837941201658,0.985837941201658,0.985837941201658,0.985837941201658,0.985837941201658,0.985837941201658,0.985837941201658,0.9874799801472981,0.9874799801472981,0.9946518715370994,0.9914546393117506,0.987207724078179,0.9910629639744774,0.987207724078179,0.9942121117427781,0.995634987845125,0.9939836363397173
фæлæвдаргонд,0.9871248584108719,0.9889803639005393,0.994656977909733,0.9999999999999991,0.9945120165106273,0.9942506999514723,0.9958913637245397,0.9999999999999991,0.9841542684299636,0.9841542684299636,0.9841542684299636,0.9841542684299636,0.9841542684299636,0.9841542684299636,0.9841542684299636,0.9851671939917086,0.9851671939917086,0.9939767517557387,0.9906713899817743,0.9894039284199514,0.9909899819357884,0.9894039284199514,0.9932915714710255,0.9950475450213331,0.9931232616863167
ӕрдхӕсын,0.9865450177342193,0.9882444892129632,0.9878916442801273,0.9841542684299636,0.985091345980275,0.9868705069434678,0.985837941201658,0.9841542684299636,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9969010283935453,0.9888339531443133,0.990758721150881,0.9868649433003303,0.9882354542225079,0.9868649433003303,0.9882452577661555,0.986623569227928,0.9862932589306433
ӕрдхӕстӕг,0.9865450177342193,0.9882444892129632,0.9878916442801273,0.9841542684299636,0.985091345980275,0.9868705069434678,0.985837941201658,0.9841542684299636,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9969010283935453,0.9888339531443133,0.990758721150881,0.9868649433003303,0.9882354542225079,0.9868649433003303,0.9882452577661555,0.986623569227928,0.9862932589306433
мидӕг,0.9865450177342193,0.9882444892129632,0.9878916442801273,0.9841542684299636,0.985091345980275,0.9868705069434678,0.985837941201658,0.9841542684299636,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9969010283935453,0.9888339531443133,0.990758721150881,0.9868649433003303,0.9882354542225079,0.9868649433003303,0.9882452577661555,0.986623569227928,0.9862932589306433
мидӕгдар,0.9865450177342193,0.9882444892129632,0.9878916442801273,0.9841542684299636,0.985091345980275,0.9868705069434678,0.985837941201658,0.9841542684299636,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9969010283935453,0.9888339531443133,0.990758721150881,0.9868649433003303,0.9882354542225079,0.9868649433003303,0.9882452577661555,0.986623569227928,0.9862932589306433
мидӕг,0.9865450177342193,0.9882444892129632,0.9878916442801273,0.9841542684299636,0.985091345980275,0.9868705069434678,0.985837941201658,0.9841542684299636,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9969010283935453,0.9888339531443133,0.990758721150881,0.9868649433003303,0.9882354542225079,0.9868649433003303,0.9882452577661555,0.986623569227928,0.9862932589306433
ӕрдхӕсын,0.9865450177342193,0.9882444892129632,0.9878916442801273,0.9841542684299636,0.985091345980275,0.9868705069434678,0.985837941201658,0.9841542684299636,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9969010283935453,0.9888339531443133,0.990758721150881,0.9868649433003303,0.9882354542225079,0.9868649433003303,0.9882452577661555,0.986623569227928,0.9862932589306433
ӕрдхӕсын,0.9865450177342193,0.9882444892129632,0.9878916442801273,0.9841542684299636,0.985091345980275,0.9868705069434678,0.985837941201658,0.9841542684299636,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9969010283935453,0.9888339531443133,0.990758721150881,0.9868649433003303,0.9882354542225079,0.9868649433003303,0.9882452577661555,0.986623569227928,0.9862932589306433
ӕрдӕны фӕн,0.9853122061770804,0.9883420303591758,0.9888365031424079,0.9851671939917086,0.9855442007100929,0.987731988463855,0.9874799801472981,0.9851671939917086,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9999999999999998,0.9999999999999988,0.9897898931444182,0.9911221351997509,0.986855737769694,0.988590431497461,0.986855737769694,0.9898979987942037,0.9879140512350686,0.9876854546685396
ӕрдӕны фӕн,0.9853122061770804,0.9883420303591758,0.9888365031424079,0.9851671939917086,0.9855442007100929,0.987731988463855,0.9874799801472981,0.9851671939917086,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9999999999999988,0.9999999999999998,0.9897898931444181,0.9911221351997512,0.986855737769694,0.9885904314974608,0.986855737769694,0.9898979987942027,0.9879140512350688,0.9876854546685396
уарзондзинадгæн,0.9913208151969287,0.9946534282348587,0.9960003783860258,0.9939767517557387,0.9933114615651281,0.993840293644489,0.9946518715370994,0.9939767517557387,0.9888339531443133,0.9888339531443133,0.9888339531443133,0.9888339531443133,0.9888339531443133,0.9888339531443133,0.9888339531443133,0.9897898931444182,0.9897898931444181,0.9999999999999991,0.9972371624171823,0.9962734519095541,0.9950212060127508,0.9962734519095541,0.9970139511008721,0.9973039140102672,0.9957355278769449
уарзондзинадтæ,0.9925371519622828,0.9949503134433965,0.9942089898886483,0.9906713899817743,0.9914222417728343,0.993236066710078,0.9914546393117506,0.9906713899817743,0.990758721150881,0.990758721150881,0.990758721150881,0.990758721150881,0.990758721150881,0.990758721150881,0.990758721150881,0.9911221351997509,0.9911221351997512,0.9972371624171823,0.9999999999999994,0.9961306743875777,0.9953139489894008,0.9961306743875777,0.9952839544591574,0.9937990948439586,0.9926531017143004
уарзондзинад,0.9921349428390158,0.9966841845579546,0.9937290119039124,0.9894039284199514,0.990810456901595,0.9898323341324816,0.987207724078179,0.9894039284199514,0.9868649433003303,0.9868649433003303,0.9868649433003303,0.9868649433003303,0.9868649433003303,0.9868649433003303,0.9868649433003303,0.986855737769694,0.986855737769694,0.9962734519095541,0.9961306743875777,0.9999999999999996,0.9937503102547043,0.9999999999999996,0.9924249975609303,0.9930258142855731,0.9920174199315422
арæс,0.9921292803483898,0.9953636651682958,0.9946813886213183,0.9909899819357884,0.9931972514136101,0.99367966911079,0.9910629639744774,0.9909899819357884,0.9882354542225079,0.9882354542225079,0.9882354542225079,0.9882354542225079,0.9882354542225079,0.9882354542225079,0.9882354542225079,0.988590431497461,0.9885904314974608,0.9950212060127508,0.9953139489894008,0.9937503102547043,0.9999999999999997,0.9937503102547043,0.992967846525445,0.9923523098117194,0.9907460651792068
уарзондзинад,0.9921349428390158,0.9966841845579546,0.9937290119039124,0.9894039284199514,0.990810456901595,0.9898323341324816,0.987207724078179,0.9894039284199514,0.9868649433003303,0.9868649433003303,0.9868649433003303,0.9868649433003303,0.9868649433003303,0.9868649433003303,0.9868649433003303,0.986855737769694,0.986855737769694,0.9962734519095541,0.9961306743875777,0.9999999999999996,0.9937503102547043,0.9999999999999996,0.9924249975609303,0.9930258142855731,0.9920174199315422
уарзондзинад æртæ,0.9879477953181188,0.9922966210223476,0.9947763789531967,0.9932915714710255,0.9928389572637988,0.9937443838651815,0.9942121117427781,0.9932915714710255,0.9882452577661555,0.9882452577661555,0.9882452577661555,0.9882452577661555,0.9882452577661555,0.9882452577661555,0.9882452577661555,0.9898979987942037,0.9898979987942027,0.9970139511008721,0.9952839544591574,0.9924249975609303,0.992967846525445,0.9924249975609303,0.9999999999999997,0.9961503236783675,0.9957900242170996
мæнæм уарзондзинад,0.9883787023109831,0.9910542818516406,0.9936545454818931,0.9950475450213331,0.9919743623301819,0.9934758312589999,0.995634987845125,0.9950475450213331,0.986623569227928,0.986623569227928,0.986623569227928,0.986623569227928,0.986623569227928,0.986623569227928,0.986623569227928,0.9879140512350686,0.9879140512350688,0.9973039140102672,0.9937990948439586,0.9930258142855731,0.9923523098117194,0.9930258142855731,0.9961503236783675,1.0,0.998142060967983
æмæ уарзондзинад,0.9875594496587252,0.9904531861383854,0.9926120080373121,0.9931232616863167,0.9901752842254041,0.9921059985672435,0.9939836363397173,0.9931232616863167,0.9862932589306433,0.9862932589306433,0.9862932589306433,0.9862932589306433,0.9862932589306433,0.9862932589306433,0.9862932589306433,0.9876854546685396,0.9876854546685396,0.9957355278769449,0.9926531017143004,0.9920174199315422,0.9907460651792068,0.9920174199315422,0.9957900242170996,0.998142060967983,0.9999999999999993
