,ценити,уважавање,захвалан,захвална,захвалност,захвалност,хвала,захвалан,захвална,захвалност,задужен,задужена,задуженост,обавеза,обавезан,обавезна,обавеза,дуговати,дуг,извињавајући,извињења,извињење,извините,жалост,извини,извинити се,опростите ми
ценити,0.9999999999999996,0.9940953123675406,0.993149733355058,0.993020280842098,0.9947538617200945,0.9947538617200945,0.9957640971988986,0.993149733355058,0.9930202808420978,0.9947538617200942,0.9940477517837228,0.9942125462785473,0.9952110981889207,0.9930149756472149,0.9934453618628737,0.9931348107591018,0.9930149756472149,0.9917252013577469,0.9922646047524138,0.9912365447258786,0.9870519918707371,0.9911233140965258,0.9943979868453688,0.991674219114294,0.9947061820491482,0.9936839101559845,0.9956554953196267
уважавање,0.9940953123675406,0.9999999999999994,0.9895365486081533,0.9900791284319216,0.995524209761422,0.995524209761422,0.993169798242956,0.9895365486081533,0.9900791284319223,0.9955242097614233,0.9910821495793055,0.9914445715708542,0.993916943382516,0.9945858020889302,0.9933798023524884,0.9936159187611024,0.9945858020889302,0.9911686258836996,0.9898434824264083,0.9915259828016257,0.990446411127507,0.9969438751090147,0.99188361468689,0.9908028771438717,0.9904914052121276,0.9922576815920974,0.9919499635977794
захвалан,0.993149733355058,0.9895365486081533,1.0,0.9969324742041985,0.9930057025919325,0.9930057025919325,0.9948124420733728,1.0,0.9969324742041985,0.9930057025919331,0.9962108528644251,0.9958549165594552,0.9920454711607393,0.9915059072618485,0.9938821167349137,0.992747514102089,0.9915059072618485,0.9930475096430117,0.9944871243198965,0.9905958598702206,0.9867373073202886,0.9887038706141011,0.989791414939434,0.9909317293791985,0.9912861128756414,0.9892242607261377,0.9906522535638556
захвална,0.993020280842098,0.9900791284319216,0.9969324742041985,0.9999999999999997,0.9948988083151766,0.9948988083151766,0.9953321452457616,0.9969324742041985,0.9999999999999996,0.994898808315177,0.9954007941287586,0.9961943942175875,0.993514137595475,0.9924431929942176,0.9931874484234985,0.9936474278534771,0.9924431929942176,0.9930818896621462,0.995437925219998,0.9906046602823987,0.98720115471361,0.9887623005146081,0.9898662248796427,0.9914073574423085,0.9914611419637215,0.9888329274006394,0.9905793194075323
захвалност,0.9947538617200945,0.995524209761422,0.9930057025919325,0.9948988083151766,0.9999999999999998,0.9999999999999998,0.9960368383449338,0.9930057025919325,0.994898808315177,1.0,0.9934643379383776,0.9939518449228519,0.9966960084393072,0.9958780434759743,0.9946056735407622,0.995043285390959,0.9958780434759743,0.9922154205386888,0.9924028244782915,0.990205491665211,0.989506423870529,0.9928906488866058,0.9927632881023823,0.9929795957430488,0.9923173573127493,0.991414917427141,0.9925924447214083
захвалност,0.9947538617200945,0.995524209761422,0.9930057025919325,0.9948988083151766,0.9999999999999998,0.9999999999999998,0.9960368383449338,0.9930057025919325,0.994898808315177,1.0,0.9934643379383776,0.9939518449228519,0.9966960084393072,0.9958780434759743,0.9946056735407622,0.995043285390959,0.9958780434759743,0.9922154205386888,0.9924028244782915,0.990205491665211,0.989506423870529,0.9928906488866058,0.9927632881023823,0.9929795957430488,0.9923173573127493,0.991414917427141,0.9925924447214083
хвала,0.9957640971988986,0.993169798242956,0.9948124420733728,0.9953321452457616,0.9960368383449338,0.9960368383449338,1.0000000000000007,0.9948124420733728,0.9953321452457625,0.9960368383449336,0.9957339645520797,0.9956902298305863,0.9963130746761222,0.9946142019127315,0.9941737281033256,0.9938882303234586,0.9946142019127315,0.9928425054662066,0.9940486260847523,0.990755748417303,0.988119419400121,0.9913901411201503,0.9928219366052063,0.9933743528964549,0.9938083372927162,0.9914278463558929,0.9934743639557783
захвалан,0.993149733355058,0.9895365486081533,1.0,0.9969324742041985,0.9930057025919325,0.9930057025919325,0.9948124420733728,1.0,0.9969324742041985,0.9930057025919331,0.9962108528644251,0.9958549165594552,0.9920454711607393,0.9915059072618485,0.9938821167349137,0.992747514102089,0.9915059072618485,0.9930475096430117,0.9944871243198965,0.9905958598702206,0.9867373073202886,0.9887038706141011,0.989791414939434,0.9909317293791985,0.9912861128756414,0.9892242607261377,0.9906522535638556
захвална,0.9930202808420978,0.9900791284319223,0.9969324742041985,0.9999999999999996,0.994898808315177,0.994898808315177,0.9953321452457625,0.9969324742041985,0.9999999999999997,0.9948988083151766,0.9954007941287586,0.9961943942175879,0.9935141375954746,0.9924431929942179,0.9931874484234993,0.9936474278534775,0.9924431929942176,0.9930818896621462,0.995437925219998,0.9906046602823987,0.98720115471361,0.9887623005146081,0.9898662248796427,0.9914073574423085,0.9914611419637215,0.9888329274006394,0.9905793194075323
захвалност,0.9947538617200942,0.9955242097614233,0.9930057025919331,0.994898808315177,1.0,1.0,0.9960368383449336,0.9930057025919331,0.9948988083151766,0.9999999999999998,0.9934643379383765,0.9939518449228525,0.9966960084393073,0.995878043475974,0.9946056735407619,0.99504328539096,0.9958780434759743,0.9922154205386888,0.9924028244782915,0.990205491665211,0.989506423870529,0.9928906488866058,0.9927632881023823,0.9929795957430488,0.9923173573127493,0.991414917427141,0.9925924447214083
задужен,0.9940477517837228,0.9910821495793055,0.9962108528644251,0.9954007941287586,0.9934643379383776,0.9934643379383776,0.9957339645520797,0.9962108528644251,0.9954007941287586,0.9934643379383765,0.9999999999999992,0.998310889820911,0.9953967933532994,0.9922017560652976,0.9941352142682649,0.9928787221570751,0.9922017560652965,0.9927415981349528,0.9939153631768284,0.9904846645629787,0.9861455023045307,0.9899670385692978,0.9921315638839978,0.9915434049264278,0.9935961951701089,0.9910006806394707,0.9927327819333608
задужена,0.9942125462785473,0.9914445715708542,0.9958549165594552,0.9961943942175875,0.9939518449228519,0.9939518449228519,0.9956902298305863,0.9958549165594552,0.9961943942175879,0.9939518449228525,0.998310889820911,0.9999999999999997,0.9958732339811451,0.9926763073322485,0.9943334293573951,0.9932840120640076,0.9926763073322469,0.9924785712721301,0.9936329434593455,0.9902996471955753,0.9866696058503309,0.9901741744443844,0.9922927249781937,0.9913894868039121,0.9939913955305024,0.9914004521407037,0.9933680031616149
задуженост,0.9952110981889207,0.993916943382516,0.9920454711607393,0.993514137595475,0.9966960084393072,0.9966960084393072,0.9963130746761222,0.9920454711607393,0.9935141375954746,0.9966960084393073,0.9953967933532994,0.9958732339811451,0.9999999999999998,0.9940329390894129,0.9937615294921429,0.9931594133304439,0.9940329390894128,0.9913240806630655,0.9918239084718532,0.9891031683071377,0.9862311247404573,0.99125496685869,0.993655047176184,0.9925389525186403,0.9940219578894235,0.991585117226135,0.9939193336982621
обавеза,0.9930149756472149,0.9945858020889302,0.9915059072618485,0.9924431929942176,0.9958780434759743,0.9958780434759743,0.9946142019127315,0.9915059072618485,0.9924431929942179,0.995878043475974,0.9922017560652976,0.9926763073322485,0.9940329390894129,0.999999999999999,0.9958220923497219,0.9970159738796178,0.9999999999999991,0.9927959749985852,0.9925956424569309,0.9899228932282669,0.990954284149917,0.9924312423216193,0.9919623513906201,0.9925094900189063,0.9907360691869979,0.9906185942182655,0.9902090655858435
обавезан,0.9934453618628737,0.9933798023524884,0.9938821167349137,0.9931874484234985,0.9946056735407622,0.9946056735407622,0.9941737281033256,0.9938821167349137,0.9931874484234993,0.9946056735407619,0.9941352142682649,0.9943334293573951,0.9937615294921429,0.9958220923497219,0.9999999999999997,0.9965644240435901,0.9958220923497214,0.9929016353304031,0.9928716692773245,0.9919371884765141,0.9890899541310222,0.9918876985597094,0.9920319347568843,0.9916359529482167,0.9918992782527292,0.991286683251615,0.9912816362576883
обавезна,0.9931348107591018,0.9936159187611024,0.992747514102089,0.9936474278534771,0.995043285390959,0.995043285390959,0.9938882303234586,0.992747514102089,0.9936474278534775,0.99504328539096,0.9928787221570751,0.9932840120640076,0.9931594133304439,0.9970159738796178,0.9965644240435901,0.9999999999999993,0.9970159738796182,0.9923538753836235,0.992250089159225,0.9918460871291104,0.9902072730062181,0.9921946703502753,0.9913992803238716,0.9919827571820361,0.9908352773753366,0.9907705658189075,0.9902031555935659
обавеза,0.9930149756472149,0.9945858020889302,0.9915059072618485,0.9924431929942176,0.9958780434759743,0.9958780434759743,0.9946142019127315,0.9915059072618485,0.9924431929942176,0.9958780434759743,0.9922017560652965,0.9926763073322469,0.9940329390894128,0.9999999999999991,0.9958220923497214,0.9970159738796182,0.999999999999999,0.9927959749985853,0.9925956424569305,0.9899228932282671,0.9909542841499175,0.9924312423216197,0.9919623513906196,0.9925094900189063,0.9907360691869979,0.9906185942182655,0.9902090655858435
дуговати,0.9917252013577469,0.9911686258836996,0.9930475096430117,0.9930818896621462,0.9922154205386888,0.9922154205386888,0.9928425054662066,0.9930475096430117,0.9930818896621462,0.9922154205386888,0.9927415981349528,0.9924785712721301,0.9913240806630655,0.9927959749985852,0.9929016353304031,0.9923538753836235,0.9927959749985853,0.9999999999999993,0.9949851971528836,0.9905439491741715,0.9892954209967113,0.9905827818084558,0.9883301719462032,0.9909730911616648,0.9884931156404503,0.9876421290855303,0.9887217753662653
дуг,0.9922646047524138,0.9898434824264083,0.9944871243198965,0.995437925219998,0.9924028244782915,0.9924028244782915,0.9940486260847523,0.9944871243198965,0.995437925219998,0.9924028244782915,0.9939153631768284,0.9936329434593455,0.9918239084718532,0.9925956424569309,0.9928716692773245,0.992250089159225,0.9925956424569305,0.9949851971528836,0.9999999999999999,0.9907765899973101,0.9875066936661302,0.9887132435552577,0.9889572805574021,0.9914086338495003,0.9899649082762063,0.9880571851679084,0.9893827605284082
извињавајући,0.9912365447258786,0.9915259828016257,0.9905958598702206,0.9906046602823987,0.990205491665211,0.990205491665211,0.990755748417303,0.9905958598702206,0.9906046602823987,0.990205491665211,0.9904846645629787,0.9902996471955753,0.9891031683071377,0.9899228932282669,0.9919371884765141,0.9918460871291104,0.9899228932282671,0.9905439491741715,0.9907765899973101,1.0,0.9895512554574352,0.9916567322889784,0.9878171560255035,0.9865898996359739,0.98891987670227,0.9903014760073173,0.9886764495550803
извињења,0.9870519918707371,0.990446411127507,0.9867373073202886,0.98720115471361,0.989506423870529,0.989506423870529,0.988119419400121,0.9867373073202886,0.98720115471361,0.989506423870529,0.9861455023045307,0.9866696058503309,0.9862311247404573,0.990954284149917,0.9890899541310222,0.9902072730062181,0.9909542841499175,0.9892954209967113,0.9875066936661302,0.9895512554574352,1.0,0.9931317289678472,0.9839974751472661,0.9845884041936221,0.9827458961997859,0.9852163044798855,0.9842364628509984
извињење,0.9911233140965258,0.9969438751090147,0.9887038706141011,0.9887623005146081,0.9928906488866058,0.9928906488866058,0.9913901411201503,0.9887038706141011,0.9887623005146081,0.9928906488866058,0.9899670385692978,0.9901741744443844,0.99125496685869,0.9924312423216193,0.9918876985597094,0.9921946703502753,0.9924312423216197,0.9905827818084558,0.9887132435552577,0.9916567322889784,0.9931317289678472,0.9999999999999997,0.989476271517143,0.9888288091383252,0.9881368577588836,0.9900953381186199,0.9896236521051528
извините,0.9943979868453688,0.99188361468689,0.989791414939434,0.9898662248796427,0.9927632881023823,0.9927632881023823,0.9928219366052063,0.989791414939434,0.9898662248796427,0.9927632881023823,0.9921315638839978,0.9922927249781937,0.993655047176184,0.9919623513906201,0.9920319347568843,0.9913992803238716,0.9919623513906196,0.9883301719462032,0.9889572805574021,0.9878171560255035,0.9839974751472661,0.989476271517143,0.9999999999999997,0.990007708221545,0.9970930909944877,0.9961372542181094,0.9959757606237017
жалост,0.991674219114294,0.9908028771438717,0.9909317293791985,0.9914073574423085,0.9929795957430488,0.9929795957430488,0.9933743528964549,0.9909317293791985,0.9914073574423085,0.9929795957430488,0.9915434049264278,0.9913894868039121,0.9925389525186403,0.9925094900189063,0.9916359529482167,0.9919827571820361,0.9925094900189063,0.9909730911616648,0.9914086338495003,0.9865898996359739,0.9845884041936221,0.9888288091383252,0.990007708221545,0.9999999999999991,0.9899824521423222,0.9882905001349392,0.9900181222889712
извини,0.9947061820491482,0.9904914052121276,0.9912861128756414,0.9914611419637215,0.9923173573127493,0.9923173573127493,0.9938083372927162,0.9912861128756414,0.9914611419637215,0.9923173573127493,0.9935961951701089,0.9939913955305024,0.9940219578894235,0.9907360691869979,0.9918992782527292,0.9908352773753366,0.9907360691869979,0.9884931156404503,0.9899649082762063,0.98891987670227,0.9827458961997859,0.9881368577588836,0.9970930909944877,0.9899824521423222,0.9999999999999997,0.994946973622787,0.9957140501617439
извинити се,0.9936839101559845,0.9922576815920974,0.9892242607261377,0.9888329274006394,0.991414917427141,0.991414917427141,0.9914278463558929,0.9892242607261377,0.9888329274006394,0.991414917427141,0.9910006806394707,0.9914004521407037,0.991585117226135,0.9906185942182655,0.991286683251615,0.9907705658189075,0.9906185942182655,0.9876421290855303,0.9880571851679084,0.9903014760073173,0.9852163044798855,0.9900953381186199,0.9961372542181094,0.9882905001349392,0.994946973622787,1.0000000000000002,0.9949370824554972
опростите ми,0.9956554953196267,0.9919499635977794,0.9906522535638556,0.9905793194075323,0.9925924447214083,0.9925924447214083,0.9934743639557783,0.9906522535638556,0.9905793194075323,0.9925924447214083,0.9927327819333608,0.9933680031616149,0.9939193336982621,0.9902090655858435,0.9912816362576883,0.9902031555935659,0.9902090655858435,0.9887217753662653,0.9893827605284082,0.9886764495550803,0.9842364628509984,0.9896236521051528,0.9959757606237017,0.9900181222889712,0.9957140501617439,0.9949370824554972,0.9999999999999997
