,qaddarin,qaddarin,mahadsan,mahadnaq,mahadnaq,mahadsanid,mahadnaqay,mahadnaqa,dayn,waajib,waajibban,ballanqaad,daymo leh,kaga mahadcelin,lagu leeyahay,murugo,iga raalli ahow,iga cafi,raalli-gelinaya,raalli-gelino,raalli-gelin bixinta,raalli-gelin,waan ka xumahay,ka xun
qaddarin,0.9999999999999988,0.9999999999999988,0.9940532281609524,0.9968703812809462,0.9968703812809462,0.9904240361333697,0.9968540565606635,0.9963347941334916,0.990506174779039,0.9930356624291914,0.9943549769085337,0.9971688479234726,0.9921535021479232,0.9914913044796956,0.9821004180268896,0.9909591047673014,0.9898664938301782,0.9917213349096815,0.9924402040098694,0.9912093344130481,0.9915647409372582,0.9920958310554208,0.991706119113633,0.9917943106003058
qaddarin,0.9999999999999988,0.9999999999999988,0.9940532281609524,0.9968703812809462,0.9968703812809462,0.9904240361333697,0.9968540565606635,0.9963347941334916,0.990506174779039,0.9930356624291914,0.9943549769085337,0.9971688479234726,0.9921535021479232,0.9914913044796956,0.9821004180268896,0.9909591047673014,0.9898664938301782,0.9917213349096815,0.9924402040098694,0.9912093344130481,0.9915647409372582,0.9920958310554208,0.991706119113633,0.9917943106003058
mahadsan,0.9940532281609524,0.9940532281609524,0.9999999999999993,0.9960905458944538,0.9960905458944538,0.9920625953588353,0.9971096103988714,0.9943684418048421,0.9947892942983919,0.9961757033335756,0.9972275551497557,0.9948261446940766,0.9958364013743385,0.9959882973956361,0.9863257921491347,0.9942203208704,0.9935257522088773,0.9959324993324913,0.9965531648473951,0.9947284138781388,0.9942882253953733,0.9953860454448061,0.9937909128461183,0.9948076794870945
mahadnaq,0.9968703812809462,0.9968703812809462,0.9960905458944538,0.9999999999999994,0.9999999999999994,0.9915655291219092,0.9977398934874749,0.9980121677055956,0.9920518922389187,0.9953846148317086,0.9962053686325679,0.9969128122192435,0.9949161695660734,0.9947624211712729,0.9853009397879013,0.9934915385304421,0.9923893098657884,0.9942466862225275,0.9947040642553053,0.9932791585119037,0.9939134405806538,0.9937435623392954,0.9941769564030536,0.993089308596996
mahadnaq,0.9968703812809462,0.9968703812809462,0.9960905458944538,0.9999999999999994,0.9999999999999994,0.9915655291219092,0.9977398934874749,0.9980121677055956,0.9920518922389187,0.9953846148317086,0.9962053686325679,0.9969128122192435,0.9949161695660734,0.9947624211712729,0.9853009397879013,0.9934915385304421,0.9923893098657884,0.9942466862225275,0.9947040642553053,0.9932791585119037,0.9939134405806538,0.9937435623392954,0.9941769564030536,0.993089308596996
mahadsanid,0.9904240361333697,0.9904240361333697,0.9920625953588353,0.9915655291219092,0.9915655291219092,0.9999999999999997,0.9912965182337312,0.99104956421124,0.988079302291651,0.9915799856531442,0.9913174114027554,0.9915441057047988,0.9901801428040087,0.9919293815920599,0.9808291801508787,0.9882231011159932,0.9917594168830633,0.9910200033902986,0.9914928600043829,0.9892347722144509,0.9907798761540095,0.9924835800252494,0.9886661142574682,0.9883475749428683
mahadnaqay,0.9968540565606635,0.9968540565606635,0.9971096103988714,0.9977398934874749,0.9977398934874749,0.9912965182337312,0.9999999999999996,0.9975273669004937,0.9922241495421779,0.9954963783839961,0.996756161901376,0.9973152308719719,0.9944254059071287,0.9940909670097164,0.9847002875131212,0.9935774039136708,0.9914769142895663,0.9945965994677359,0.9961057796432055,0.9940943723859462,0.9937671584076327,0.9938551437519844,0.9940261368522845,0.9934881009758966
mahadnaqa,0.9963347941334916,0.9963347941334916,0.9943684418048421,0.9980121677055956,0.9980121677055956,0.99104956421124,0.9975273669004937,1.0000000000000002,0.9883005408967177,0.9938914294665714,0.9948968117936087,0.9970933878101674,0.9937058228484918,0.9920513740631193,0.9829115765130126,0.9916601042854323,0.9896022410916744,0.9918469678319641,0.9936868807112089,0.9914743633199188,0.991771467336558,0.9914912774995721,0.9938706171621878,0.9911437872354646
dayn,0.990506174779039,0.990506174779039,0.9947892942983919,0.9920518922389187,0.9920518922389187,0.988079302291651,0.9922241495421779,0.9883005408967177,0.9999999999999999,0.9927079010199591,0.9935982754804286,0.9903512868481263,0.9924861430445341,0.9943170291104478,0.9843873162002268,0.992346833422886,0.9933443372084576,0.9944070707792199,0.9925498696414098,0.9925499579234183,0.9921866869466316,0.9935319018213316,0.9880602739505265,0.9938379780599106
waajib,0.9930356624291914,0.9930356624291914,0.9961757033335756,0.9953846148317086,0.9953846148317086,0.9915799856531442,0.9954963783839961,0.9938914294665714,0.9927079010199591,0.9999999999999993,0.9985079180589542,0.9935735676843519,0.9948260646792588,0.9943030348495624,0.9845551349901647,0.9938251413481944,0.9922714674200859,0.9950999209303978,0.9947628679342447,0.9933647501377415,0.9936804961717037,0.9940251563155481,0.9956998396492434,0.9937522330896975
waajibban,0.9943549769085337,0.9943549769085337,0.9972275551497557,0.9962053686325679,0.9962053686325679,0.9913174114027554,0.996756161901376,0.9948968117936087,0.9935982754804286,0.9985079180589542,0.9999999999999997,0.9946292025891433,0.9952838750474686,0.9950348481547624,0.9854744742234111,0.9940294211998404,0.9925773745458742,0.9949353998386727,0.9958261842926448,0.9938992368791237,0.994629523783037,0.994960830215564,0.9965907577459608,0.9944533956998517
ballanqaad,0.9971688479234726,0.9971688479234726,0.9948261446940766,0.9969128122192435,0.9969128122192435,0.9915441057047988,0.9973152308719719,0.9970933878101674,0.9903512868481263,0.9935735676843519,0.9946292025891433,0.9999999999999994,0.9939081012042996,0.9924161174537481,0.983103256551495,0.9922549430045872,0.9908710879228515,0.9926281550590732,0.9939092739452525,0.9920080643223191,0.9920279268199743,0.9927754825818987,0.9927523364594752,0.9920807990970665
daymo leh,0.9921535021479232,0.9921535021479232,0.9958364013743385,0.9949161695660734,0.9949161695660734,0.9901801428040087,0.9944254059071287,0.9937058228484918,0.9924861430445341,0.9948260646792588,0.9952838750474686,0.9939081012042996,0.9999999999999997,0.9950381650298635,0.9850844862188258,0.9941792403751544,0.9931661285029243,0.9949930003420724,0.9938055240485343,0.9934415169294525,0.9936312288564099,0.9943336842572638,0.9944840014453079,0.993451089126837
kaga mahadcelin,0.9914913044796956,0.9914913044796956,0.9959882973956361,0.9947624211712729,0.9947624211712729,0.9919293815920599,0.9940909670097164,0.9920513740631193,0.9943170291104478,0.9943030348495624,0.9950348481547624,0.9924161174537481,0.9950381650298635,0.9999999999999991,0.9862155148024346,0.9940948349512129,0.9958760267890522,0.9958791956566913,0.9955221346889865,0.9942989425774698,0.9952416293845515,0.9964550612132622,0.9920911253399789,0.9943505319224022
lagu leeyahay,0.9821004180268896,0.9821004180268896,0.9863257921491347,0.9853009397879013,0.9853009397879013,0.9808291801508787,0.9847002875131212,0.9829115765130126,0.9843873162002268,0.9845551349901647,0.9854744742234111,0.983103256551495,0.9850844862188258,0.9862155148024346,0.9999999999999996,0.9823993765095634,0.9840892856615764,0.9844220741174963,0.9841880987900076,0.9831784583713006,0.9836700288445897,0.9845177476390654,0.9836338579653171,0.9833792739441164
murugo,0.9909591047673014,0.9909591047673014,0.9942203208704,0.9934915385304421,0.9934915385304421,0.9882231011159932,0.9935774039136708,0.9916601042854323,0.992346833422886,0.9938251413481944,0.9940294211998404,0.9922549430045872,0.9941792403751544,0.9940948349512129,0.9823993765095634,0.9999999999999997,0.9907215952118779,0.9937260596457641,0.9946353487091593,0.9958619489539847,0.9937396717779897,0.9933586283178204,0.9919057360609957,0.9930476986629814
iga raalli ahow,0.9898664938301782,0.9898664938301782,0.9935257522088773,0.9923893098657884,0.9923893098657884,0.9917594168830633,0.9914769142895663,0.9896022410916744,0.9933443372084576,0.9922714674200859,0.9925773745458742,0.9908710879228515,0.9931661285029243,0.9958760267890522,0.9840892856615764,0.9907215952118779,1.0,0.9952752744881873,0.9928980750130771,0.991784168400141,0.9930582636553741,0.9955761079674026,0.9904430487592063,0.9925622296417164
iga cafi,0.9917213349096815,0.9917213349096815,0.9959324993324913,0.9942466862225275,0.9942466862225275,0.9910200033902986,0.9945965994677359,0.9918469678319641,0.9944070707792199,0.9950999209303978,0.9949353998386727,0.9926281550590732,0.9949930003420724,0.9958791956566913,0.9844220741174963,0.9937260596457641,0.9952752744881873,0.9999999999999993,0.9941865169627472,0.9938451854983152,0.9934866135394244,0.9945630286494541,0.991943655369368,0.9942334630394759
raalli-gelinaya,0.9924402040098694,0.9924402040098694,0.9965531648473951,0.9947040642553053,0.9947040642553053,0.9914928600043829,0.9961057796432055,0.9936868807112089,0.9925498696414098,0.9947628679342447,0.9958261842926448,0.9939092739452525,0.9938055240485343,0.9955221346889865,0.9841880987900076,0.9946353487091593,0.9928980750130771,0.9941865169627472,0.9999999999999997,0.9967694882680014,0.9954542692004291,0.9966571682265508,0.9928293757646439,0.9930341692174717
raalli-gelino,0.9912093344130481,0.9912093344130481,0.9947284138781388,0.9932791585119037,0.9932791585119037,0.9892347722144509,0.9940943723859462,0.9914743633199188,0.9925499579234183,0.9933647501377415,0.9938992368791237,0.9920080643223191,0.9934415169294525,0.9942989425774698,0.9831784583713006,0.9958619489539847,0.991784168400141,0.9938451854983152,0.9967694882680014,0.9999999999999994,0.9952195799587245,0.9960435804150425,0.9904776403901027,0.9919010222982854
raalli-gelin bixinta,0.9915647409372582,0.9915647409372582,0.9942882253953733,0.9939134405806538,0.9939134405806538,0.9907798761540095,0.9937671584076327,0.991771467336558,0.9921866869466316,0.9936804961717037,0.994629523783037,0.9920279268199743,0.9936312288564099,0.9952416293845515,0.9836700288445897,0.9937396717779897,0.9930582636553741,0.9934866135394244,0.9954542692004291,0.9952195799587245,0.9999999999999993,0.9978292105033443,0.9923302020825375,0.9923599128762607
raalli-gelin,0.9920958310554208,0.9920958310554208,0.9953860454448061,0.9937435623392954,0.9937435623392954,0.9924835800252494,0.9938551437519844,0.9914912774995721,0.9935319018213316,0.9940251563155481,0.994960830215564,0.9927754825818987,0.9943336842572638,0.9964550612132622,0.9845177476390654,0.9933586283178204,0.9955761079674026,0.9945630286494541,0.9966571682265508,0.9960435804150425,0.9978292105033443,0.9999999999999993,0.9919583106514455,0.9930141320417271
waan ka xumahay,0.991706119113633,0.991706119113633,0.9937909128461183,0.9941769564030536,0.9941769564030536,0.9886661142574682,0.9940261368522845,0.9938706171621878,0.9880602739505265,0.9956998396492434,0.9965907577459608,0.9927523364594752,0.9944840014453079,0.9920911253399789,0.9836338579653171,0.9919057360609957,0.9904430487592063,0.991943655369368,0.9928293757646439,0.9904776403901027,0.9923302020825375,0.9919583106514455,0.9999999999999994,0.9925896167758899
ka xun,0.9917943106003058,0.9917943106003058,0.9948076794870945,0.993089308596996,0.993089308596996,0.9883475749428683,0.9934881009758966,0.9911437872354646,0.9938379780599106,0.9937522330896975,0.9944533956998517,0.9920807990970665,0.993451089126837,0.9943505319224022,0.9833792739441164,0.9930476986629814,0.9925622296417164,0.9942334630394759,0.9930341692174717,0.9919010222982854,0.9923599128762607,0.9930141320417271,0.9925896167758899,0.9999999999999997
