,سراہنا,تعریف,شکرگزاری,شکرگزاری,شکریہ,شکرگزاری,شکر گزار,شکر گزار,مقروض,قرضداری,عہد,احسان مند,ذمہ داری,قرض ہونا,واجب الادا,معذرتیں,معذرت,افسوس,معاف کیجیے,مجھے معاف کریں,معاف کیجیے,معافی مانگنا,معذرت خواہ
سراہنا,0.9999999999999992,0.9824125235432432,0.9917393326141601,0.9917393326141601,0.9950143344203488,0.9917393326141601,0.9923611513634076,0.9923611513634076,0.9937038656198529,0.9931055171170724,0.9911690449175119,0.9946393260448242,0.994788346028188,0.9962688375149077,0.9920818659948819,0.9914689237429443,0.9958396658641968,0.9943992257431913,0.9954069877628147,0.9950712075837032,0.9954069877628147,0.9956187128325689,0.9959210226337468
تعریف,0.9824125235432432,0.9999999999999999,0.9774797019452793,0.9774797019452793,0.980096153082815,0.9774797019452793,0.9767959264173305,0.9767959264173305,0.9796952385018722,0.9806531243093062,0.9764987747968078,0.9794576338610252,0.9809512956441003,0.9830246845250193,0.9760870896030118,0.9746597330880087,0.9822601894746648,0.980551607803966,0.9809135932325364,0.9804504272139554,0.9809135932325364,0.9788147874345189,0.9812009558754909
شکرگزاری,0.9917393326141601,0.9774797019452793,0.9999999999999989,0.9999999999999989,0.9942466100731457,0.9999999999999989,0.995874292401461,0.995874292401461,0.994316854518622,0.9958863951181627,0.9901561231137289,0.9947211664617949,0.9937257889331812,0.9918362224496269,0.9930916946073577,0.9941584655051864,0.99056670289368,0.9948289598059804,0.9943978103007503,0.9910127948928057,0.9943978103007503,0.9954550007832705,0.9933708040606225
شکرگزاری,0.9917393326141601,0.9774797019452793,0.9999999999999989,0.9999999999999989,0.9942466100731457,0.9999999999999989,0.995874292401461,0.995874292401461,0.994316854518622,0.9958863951181627,0.9901561231137289,0.9947211664617949,0.9937257889331812,0.9918362224496269,0.9930916946073577,0.9941584655051864,0.99056670289368,0.9948289598059804,0.9943978103007503,0.9910127948928057,0.9943978103007503,0.9954550007832705,0.9933708040606225
شکریہ,0.9950143344203488,0.980096153082815,0.9942466100731457,0.9942466100731457,0.9999999999999991,0.9942466100731457,0.9954266419379436,0.9954266419379436,0.9968940118215854,0.9945403010532754,0.9910704261276909,0.995499326168758,0.9950690861452058,0.9942803223055284,0.9932327781313447,0.9936833133087339,0.9930759564690674,0.9958175756190888,0.9950053369526237,0.9930873385122954,0.9950053369526237,0.9968705349390479,0.9947479245537665
شکرگزاری,0.9917393326141601,0.9774797019452793,0.9999999999999989,0.9999999999999989,0.9942466100731457,0.9999999999999989,0.995874292401461,0.995874292401461,0.994316854518622,0.9958863951181627,0.9901561231137289,0.9947211664617949,0.9937257889331812,0.9918362224496269,0.9930916946073577,0.9941584655051864,0.99056670289368,0.9948289598059804,0.9943978103007503,0.9910127948928057,0.9943978103007503,0.9954550007832705,0.9933708040606225
شکر گزار,0.9923611513634076,0.9767959264173305,0.995874292401461,0.995874292401461,0.9954266419379436,0.995874292401461,0.9999999999999998,0.9999999999999998,0.9943888725816475,0.9953086468992819,0.989477182908587,0.9942847496079338,0.9926445478558957,0.992442428620547,0.9938259122333386,0.9947622965483784,0.9901389476398622,0.9944125433002117,0.9946732105057724,0.9912578030499463,0.9946732105057724,0.9963175902654476,0.9935932495320577
شکر گزار,0.9923611513634076,0.9767959264173305,0.995874292401461,0.995874292401461,0.9954266419379436,0.995874292401461,0.9999999999999998,0.9999999999999998,0.9943888725816475,0.9953086468992819,0.989477182908587,0.9942847496079338,0.9926445478558957,0.992442428620547,0.9938259122333386,0.9947622965483784,0.9901389476398622,0.9944125433002117,0.9946732105057724,0.9912578030499463,0.9946732105057724,0.9963175902654476,0.9935932495320577
مقروض,0.9937038656198529,0.9796952385018722,0.994316854518622,0.994316854518622,0.9968940118215854,0.994316854518622,0.9943888725816475,0.9943888725816475,0.9999999999999991,0.9947526672370062,0.9908532726027086,0.996282528777776,0.9948932971873112,0.9929225311002894,0.9943178063222344,0.9925612061295725,0.993597419417985,0.9957274138935311,0.994242109737636,0.9920595619877339,0.994242109737636,0.9962352735153153,0.994149558821535
قرضداری,0.9931055171170724,0.9806531243093062,0.9958863951181627,0.9958863951181627,0.9945403010532754,0.9958863951181627,0.9953086468992819,0.9953086468992819,0.9947526672370062,1.0000000000000004,0.9907239547234994,0.9948173628462925,0.9950389095711686,0.9945192741217306,0.9934221944170653,0.9935670034474277,0.991854452406099,0.9951096588327889,0.9952737559158854,0.9916547016968976,0.9952737559158854,0.9952018310147419,0.9938619601838065
عہد,0.9911690449175119,0.9764987747968078,0.9901561231137289,0.9901561231137289,0.9910704261276909,0.9901561231137289,0.989477182908587,0.989477182908587,0.9908532726027086,0.9907239547234994,0.9999999999999996,0.9919662288874356,0.9906448825606261,0.9899223791172785,0.989857014733651,0.9888895241076583,0.9897018798544444,0.992673576305389,0.9901832530609544,0.9880311679755776,0.9901832530609544,0.9918085500416194,0.9913573342465459
احسان مند,0.9946393260448242,0.9794576338610252,0.9947211664617949,0.9947211664617949,0.995499326168758,0.9947211664617949,0.9942847496079338,0.9942847496079338,0.996282528777776,0.9948173628462925,0.9919662288874356,0.9999999999999987,0.9944606410150246,0.9934592536004523,0.994996877469935,0.9922553988866623,0.9941082885919993,0.9962215255552651,0.9947910411824481,0.9933803911693939,0.9947910411824481,0.996510755641998,0.9949247454001021
ذمہ داری,0.994788346028188,0.9809512956441003,0.9937257889331812,0.9937257889331812,0.9950690861452058,0.9937257889331812,0.9926445478558957,0.9926445478558957,0.9948932971873112,0.9950389095711686,0.9906448825606261,0.9944606410150246,0.9999999999999991,0.9952861676383209,0.9919808103902505,0.9916591010525218,0.9932280932835006,0.9941077345296184,0.9957121026309994,0.9938945581274333,0.9957121026309994,0.9954488341645986,0.9947008362757294
قرض ہونا,0.9962688375149077,0.9830246845250193,0.9918362224496269,0.9918362224496269,0.9942803223055284,0.9918362224496269,0.992442428620547,0.992442428620547,0.9929225311002894,0.9945192741217306,0.9899223791172785,0.9934592536004523,0.9952861676383209,0.9999999999999998,0.9911361761663724,0.990763655214786,0.9933172099438262,0.9933139244510587,0.9968546809695837,0.9957881094076143,0.9968546809695837,0.9944305987117543,0.9950954723522476
واجب الادا,0.9920818659948819,0.9760870896030118,0.9930916946073577,0.9930916946073577,0.9932327781313447,0.9930916946073577,0.9938259122333386,0.9938259122333386,0.9943178063222344,0.9934221944170653,0.989857014733651,0.994996877469935,0.9919808103902505,0.9911361761663724,0.9999999999999998,0.9918518133457032,0.9915237347270306,0.994317538605492,0.9929431286968057,0.9900051787968318,0.9929431286968057,0.9940930526061186,0.9922746508099964
معذرتیں,0.9914689237429443,0.9746597330880087,0.9941584655051864,0.9941584655051864,0.9936833133087339,0.9941584655051864,0.9947622965483784,0.9947622965483784,0.9925612061295725,0.9935670034474277,0.9888895241076583,0.9922553988866623,0.9916591010525218,0.990763655214786,0.9918518133457032,0.9999999999999993,0.989728277980729,0.9932921087601483,0.9942450385078182,0.9901085952292448,0.9942450385078182,0.993711450610405,0.9921854451236479
معذرت,0.9958396658641968,0.9822601894746648,0.99056670289368,0.99056670289368,0.9930759564690674,0.99056670289368,0.9901389476398622,0.9901389476398622,0.993597419417985,0.991854452406099,0.9897018798544444,0.9941082885919993,0.9932280932835006,0.9933172099438262,0.9915237347270306,0.989728277980729,0.9999999999999992,0.993388116152321,0.9933382256861432,0.9932911331304997,0.9933382256861432,0.9935514192883228,0.9968205475697616
افسوس,0.9943992257431913,0.980551607803966,0.9948289598059804,0.9948289598059804,0.9958175756190888,0.9948289598059804,0.9944125433002117,0.9944125433002117,0.9957274138935311,0.9951096588327889,0.992673576305389,0.9962215255552651,0.9941077345296184,0.9933139244510587,0.994317538605492,0.9932921087601483,0.993388116152321,0.9999999999999998,0.9947233347956213,0.9917940655293583,0.9947233347956213,0.996144804300436,0.9942983404540058
معاف کیجیے,0.9954069877628147,0.9809135932325364,0.9943978103007503,0.9943978103007503,0.9950053369526237,0.9943978103007503,0.9946732105057724,0.9946732105057724,0.994242109737636,0.9952737559158854,0.9901832530609544,0.9947910411824481,0.9957121026309994,0.9968546809695837,0.9929431286968057,0.9942450385078182,0.9933382256861432,0.9947233347956213,0.9999999999999993,0.9965916994132653,0.9999999999999993,0.995424594605244,0.9960791731388958
مجھے معاف کریں,0.9950712075837032,0.9804504272139554,0.9910127948928057,0.9910127948928057,0.9930873385122954,0.9910127948928057,0.9912578030499463,0.9912578030499463,0.9920595619877339,0.9916547016968976,0.9880311679755776,0.9933803911693939,0.9938945581274333,0.9957881094076143,0.9900051787968318,0.9901085952292448,0.9932911331304997,0.9917940655293583,0.9965916994132653,1.0,0.9965916994132653,0.993551434571943,0.9952838960309895
معاف کیجیے,0.9954069877628147,0.9809135932325364,0.9943978103007503,0.9943978103007503,0.9950053369526237,0.9943978103007503,0.9946732105057724,0.9946732105057724,0.994242109737636,0.9952737559158854,0.9901832530609544,0.9947910411824481,0.9957121026309994,0.9968546809695837,0.9929431286968057,0.9942450385078182,0.9933382256861432,0.9947233347956213,0.9999999999999993,0.9965916994132653,0.9999999999999993,0.9954245946052439,0.9960791731388958
معافی مانگنا,0.9956187128325689,0.9788147874345189,0.9954550007832705,0.9954550007832705,0.9968705349390479,0.9954550007832705,0.9963175902654476,0.9963175902654476,0.9962352735153153,0.9952018310147419,0.9918085500416194,0.996510755641998,0.9954488341645986,0.9944305987117543,0.9940930526061186,0.993711450610405,0.9935514192883228,0.996144804300436,0.995424594605244,0.993551434571943,0.9954245946052439,0.9999999999999993,0.995608681403436
معذرت خواہ,0.9959210226337468,0.9812009558754909,0.9933708040606225,0.9933708040606225,0.9947479245537665,0.9933708040606225,0.9935932495320577,0.9935932495320577,0.994149558821535,0.9938619601838065,0.9913573342465459,0.9949247454001021,0.9947008362757294,0.9950954723522476,0.9922746508099964,0.9921854451236479,0.9968205475697616,0.9942983404540058,0.9960791731388958,0.9952838960309895,0.9960791731388958,0.995608681403436,0.9999999999999989
