,qadrlamoq,minnatdor,minnatdorchilik,minnatdorchilik,rahmat,minnatdor,minnatdorchilik,qadr-qimmat,қарздор,қарздорлик,мажбурият,мажбур,ўҳда,қарздор,қарздор бўлиш,uzrli,uzrlar,uzr,kechirasiz,afsus,kechirasiz,meni kechiring,uzr so'ramoq
qadrlamoq,1.0000000000000002,0.980885845537585,0.9948300800591586,0.9948300800591586,0.9913290768689512,0.980885845537585,0.9948300800591586,0.9964105915719106,0.9940016073676138,0.9949579176865938,0.9916175255620976,0.9912801404420303,0.9929597700414061,0.9940016073676138,0.9928914193611644,0.993950975111053,0.9927788995318361,0.9886873459517682,0.9947606507936771,0.9942109325721213,0.9947606507936771,0.9937520299445818,0.9954137272490284
minnatdor,0.980885845537585,0.9999999999999997,0.9799610174615626,0.9799610174615626,0.984821175576633,0.9999999999999997,0.9799610174615626,0.9788142866357311,0.9795643136575514,0.9829181769450164,0.9830341276896678,0.9790799914811538,0.9801532202250454,0.9795643136575514,0.9816755729794521,0.9839630344101585,0.9840754328934204,0.9848005804929882,0.9815830382072852,0.9848117171920637,0.9815830382072852,0.9815888870273982,0.9825164437927488
minnatdorchilik,0.9948300800591586,0.9799610174615626,0.9999999999999994,0.9999999999999994,0.9886748738230784,0.9799610174615626,0.9999999999999994,0.9943102829739037,0.9914166525905777,0.9925691314619721,0.9899230265585683,0.988469898446049,0.9899648603581042,0.9914166525905777,0.990203149048196,0.9911511504376881,0.9901785599562772,0.9851687379864307,0.9922042296015349,0.990870003210273,0.9922042296015349,0.9917432692718741,0.9924817025314352
minnatdorchilik,0.9948300800591586,0.9799610174615626,0.9999999999999994,0.9999999999999994,0.9886748738230784,0.9799610174615626,0.9999999999999994,0.9943102829739037,0.9914166525905777,0.9925691314619721,0.9899230265585683,0.988469898446049,0.9899648603581042,0.9914166525905777,0.990203149048196,0.9911511504376881,0.9901785599562772,0.9851687379864307,0.9922042296015349,0.990870003210273,0.9922042296015349,0.9917432692718741,0.9924817025314352
rahmat,0.9913290768689512,0.984821175576633,0.9886748738230784,0.9886748738230784,1.0000000000000004,0.984821175576633,0.9886748738230784,0.9902474027724775,0.9892219996026526,0.992392036928238,0.9928142843852705,0.988607852628472,0.9918536578972168,0.9892219996026526,0.9915991908723711,0.9929521051688576,0.9925380316908071,0.9910557499509729,0.9932524735224284,0.9939358095326484,0.9932524735224284,0.9921184404022336,0.993431283085586
minnatdor,0.980885845537585,0.9999999999999997,0.9799610174615626,0.9799610174615626,0.984821175576633,0.9999999999999997,0.9799610174615626,0.9788142866357311,0.9795643136575514,0.9829181769450164,0.9830341276896678,0.9790799914811538,0.9801532202250454,0.9795643136575514,0.9816755729794521,0.9839630344101585,0.9840754328934204,0.9848005804929882,0.9815830382072852,0.9848117171920637,0.9815830382072852,0.9815888870273982,0.9825164437927488
minnatdorchilik,0.9948300800591586,0.9799610174615626,0.9999999999999994,0.9999999999999994,0.9886748738230784,0.9799610174615626,0.9999999999999994,0.9943102829739037,0.9914166525905777,0.9925691314619721,0.9899230265585683,0.988469898446049,0.9899648603581042,0.9914166525905777,0.990203149048196,0.9911511504376881,0.9901785599562772,0.9851687379864307,0.9922042296015349,0.990870003210273,0.9922042296015349,0.9917432692718741,0.9924817025314352
qadr-qimmat,0.9964105915719106,0.9788142866357311,0.9943102829739037,0.9943102829739037,0.9902474027724775,0.9788142866357311,0.9943102829739037,1.0,0.9921682447682938,0.9934765168309481,0.9912463363602358,0.9903526076302465,0.992845786550704,0.9921682447682938,0.9912709337652311,0.9924181493567488,0.9919300935627416,0.9872871531609649,0.9930478002142615,0.9929610595375139,0.9930478002142615,0.9934061309104634,0.9944805067649016
қарздор,0.9940016073676138,0.9795643136575514,0.9914166525905777,0.9914166525905777,0.9892219996026526,0.9795643136575514,0.9914166525905777,0.9921682447682938,0.9999999999999993,0.9976255903518304,0.9918907298059251,0.990689739978069,0.9914607511586622,0.9999999999999993,0.9951899754898736,0.991354295599186,0.9901969171388175,0.9865317303871537,0.9920750339868926,0.9916557974363233,0.9920750339868926,0.9918810918426842,0.9912362153246808
қарздорлик,0.9949579176865938,0.9829181769450164,0.9925691314619721,0.9925691314619721,0.992392036928238,0.9829181769450164,0.9925691314619721,0.9934765168309481,0.9976255903518304,0.9999999999999988,0.9940376354759225,0.9918329280396596,0.9932750862171056,0.9976255903518304,0.996922876094925,0.9943803390602071,0.9929744501612415,0.9903603030691905,0.9946959231563438,0.9946533582367685,0.9946959231563438,0.9940444942308361,0.9939981117680758
мажбурият,0.9916175255620976,0.9830341276896678,0.9899230265585683,0.9899230265585683,0.9928142843852705,0.9830341276896678,0.9899230265585683,0.9912463363602358,0.9918907298059251,0.9940376354759225,0.9999999999999991,0.99366237334681,0.9912963442710897,0.9918907298059251,0.992800865745592,0.9921290170167092,0.9909948705743212,0.9888164044236292,0.9928046254325477,0.9941669662578402,0.9928046254325477,0.9925645195301865,0.9917048502739167
мажбур,0.9912801404420303,0.9790799914811538,0.988469898446049,0.988469898446049,0.988607852628472,0.9790799914811538,0.988469898446049,0.9903526076302465,0.990689739978069,0.9918329280396596,0.99366237334681,0.9999999999999998,0.9891948412335796,0.990689739978069,0.9906766723672823,0.9901479000490495,0.986370773142317,0.9846944966255728,0.9901207444952095,0.9916617423014805,0.9901207444952095,0.989070642495576,0.9901544229002369
ўҳда,0.9929597700414061,0.9801532202250454,0.9899648603581042,0.9899648603581042,0.9918536578972168,0.9801532202250454,0.9899648603581042,0.992845786550704,0.9914607511586622,0.9932750862171056,0.9912963442710897,0.9891948412335796,0.9999999999999992,0.9914607511586622,0.9914291095095761,0.9916470803117959,0.9912852135245548,0.9893161300551968,0.9913126724396052,0.9923500404339809,0.9913126724396052,0.9916012177650028,0.992753187223423
қарздор,0.9940016073676138,0.9795643136575514,0.9914166525905777,0.9914166525905777,0.9892219996026526,0.9795643136575514,0.9914166525905777,0.9921682447682938,0.9999999999999993,0.9976255903518304,0.9918907298059251,0.990689739978069,0.9914607511586622,0.9999999999999993,0.9951899754898736,0.991354295599186,0.9901969171388175,0.9865317303871537,0.9920750339868926,0.9916557974363233,0.9920750339868926,0.9918810918426842,0.9912362153246808
қарздор бўлиш,0.9928914193611644,0.9816755729794521,0.990203149048196,0.990203149048196,0.9915991908723711,0.9816755729794521,0.990203149048196,0.9912709337652311,0.9951899754898736,0.996922876094925,0.992800865745592,0.9906766723672823,0.9914291095095761,0.9951899754898736,0.9999999999999991,0.9927671318870267,0.9913961491122888,0.9886898178714619,0.9942640698158531,0.9938808539134261,0.9942640698158531,0.9933155525267241,0.9934077560361007
uzrli,0.993950975111053,0.9839630344101585,0.9911511504376881,0.9911511504376881,0.9929521051688576,0.9839630344101585,0.9911511504376881,0.9924181493567488,0.991354295599186,0.9943803390602071,0.9921290170167092,0.9901479000490495,0.9916470803117959,0.991354295599186,0.9927671318870267,0.9999999999999996,0.995040323924538,0.9930860475883756,0.9953888327047848,0.9962071963183964,0.9953888327047848,0.9939446491392612,0.993984150512193
uzrlar,0.9927788995318361,0.9840754328934204,0.9901785599562772,0.9901785599562772,0.9925380316908071,0.9840754328934204,0.9901785599562772,0.9919300935627416,0.9901969171388175,0.9929744501612415,0.9909948705743212,0.986370773142317,0.9912852135245548,0.9901969171388175,0.9913961491122888,0.995040323924538,1.0,0.9946814898385076,0.9938100792506511,0.9940188577301077,0.9938100792506511,0.9933567635081704,0.9938882882817308
uzr,0.9886873459517682,0.9848005804929882,0.9851687379864307,0.9851687379864307,0.9910557499509729,0.9848005804929882,0.9851687379864307,0.9872871531609649,0.9865317303871537,0.9903603030691905,0.9888164044236292,0.9846944966255728,0.9893161300551968,0.9865317303871537,0.9886898178714619,0.9930860475883756,0.9946814898385076,0.9999999999999999,0.9899671618407171,0.9919138491499038,0.9899671618407171,0.9892791895819302,0.9908149740904149
kechirasiz,0.9947606507936771,0.9815830382072852,0.9922042296015349,0.9922042296015349,0.9932524735224284,0.9815830382072852,0.9922042296015349,0.9930478002142615,0.9920750339868926,0.9946959231563438,0.9928046254325477,0.9901207444952095,0.9913126724396052,0.9920750339868926,0.9942640698158531,0.9953888327047848,0.9938100792506511,0.9899671618407171,0.9999999999999996,0.9953680543753172,0.9999999999999996,0.9964789173828631,0.9952067407675146
afsus,0.9942109325721213,0.9848117171920637,0.990870003210273,0.990870003210273,0.9939358095326484,0.9848117171920637,0.990870003210273,0.9929610595375139,0.9916557974363233,0.9946533582367685,0.9941669662578402,0.9916617423014805,0.9923500404339809,0.9916557974363233,0.9938808539134261,0.9962071963183964,0.9940188577301077,0.9919138491499038,0.9953680543753172,1.0,0.9953680543753172,0.9938284457969467,0.9947980624283774
kechirasiz,0.9947606507936771,0.9815830382072852,0.9922042296015349,0.9922042296015349,0.9932524735224284,0.9815830382072852,0.9922042296015349,0.9930478002142615,0.9920750339868926,0.9946959231563438,0.9928046254325477,0.9901207444952095,0.9913126724396052,0.9920750339868926,0.9942640698158531,0.9953888327047848,0.9938100792506511,0.9899671618407171,0.9999999999999996,0.9953680543753172,0.9999999999999996,0.9964789173828631,0.9952067407675146
meni kechiring,0.9937520299445818,0.9815888870273982,0.9917432692718741,0.9917432692718741,0.9921184404022336,0.9815888870273982,0.9917432692718741,0.9934061309104634,0.9918810918426842,0.9940444942308361,0.9925645195301865,0.989070642495576,0.9916012177650028,0.9918810918426842,0.9933155525267241,0.9939446491392612,0.9933567635081704,0.9892791895819302,0.9964789173828631,0.9938284457969467,0.9964789173828631,0.9999999999999997,0.9943194116025817
uzr so'ramoq,0.9954137272490284,0.9825164437927488,0.9924817025314352,0.9924817025314352,0.993431283085586,0.9825164437927488,0.9924817025314352,0.9944805067649016,0.9912362153246808,0.9939981117680758,0.9917048502739167,0.9901544229002369,0.992753187223423,0.9912362153246808,0.9934077560361007,0.993984150512193,0.9938882882817308,0.9908149740904149,0.9952067407675146,0.9947980624283774,0.9952067407675146,0.9943194116025817,0.9999999999999994
